,site_name,lon,lat,z_pred,ss_pred,z_obs,drift_at_obs,dist_nn,residual,PES,|PES| > critical_val,ci
0,Arch cave,-127.07,50.55,-10.187402393815566,7.877566128392092,-12.606100612437558,-10.67761845507561,748.6036172344031,2.4186982186219925,-0.8617586591037034,False,9.087356445221369
1,Ball Gown cave,125.0,-17.03,-5.781288893612409,5.824541550931506,-1.6027495194548464,-5.215183334601113,431.8048314824116,-4.1785393741575625,1.7313848976280213,False,7.8139820346635
2,Bleßberg cave,11.0203,50.4244,-9.411074883780744,5.331821270040639,-8.27092323477093,-11.048254331540011,344.639810413006,-1.1401516490098142,0.4937701459144673,False,7.47617271511148
3,Botuverá cave,-49.1569,-27.2247,-5.637544735930891,5.665842239080376,-3.2137664864069393,-5.367465134491072,302.6232291967474,-2.4237782495239513,1.0182645982103096,False,7.706794404476958
4,Bukit Assam cave,114.8,4.03,-7.690716244642002,3.7080990208306694,-6.980527083969446,-8.091294276518251,8.261762994230782,-0.7101891606725559,0.3688063398570449,False,6.2347234717097635
5,Buraca Gloriosa,-8.7833,39.5333,-5.103289262902401,5.48076335549798,-4.206947538617612,-6.892270770850667,543.5365932927459,-0.8963417242847891,0.3828715422595578,False,7.579875282602511
6,Cave of the Bells,-110.75,31.75,-8.482193469207697,5.387056492366304,-9.939953237902841,-9.869413766591514,524.7484788129576,1.4577597686951442,-0.6280731032074264,False,7.514797798096935
7,Chaara cave,-4.2461,33.9558,-5.951812266045941,3.995334799245118,-5.615794069698248,-7.973841702725472,0.6449965275131396,-0.3360181963476929,0.16810715847945618,False,6.471696221568177
8,Chan Hol cave,-87.57,20.16,-1.7303577872402716,5.179689006916457,-4.842580115478086,-2.7543825530437323,447.2796244410764,3.112222328237814,-1.3674730360224612,False,7.368742443176295
9,Chauvet cave,4.26,44.23,-6.878635255313411,4.626773140122961,-7.199091538336699,-9.436347591380114,305.11447180307584,0.32045628302328755,-0.1489805894130019,False,6.964350777485315
10,Creighton`s cave,172.47,-40.63,-4.562811146735122,3.7349481299564102,-3.783243023443864,-7.805775121604999,69.00998942851429,-0.7795681232912579,0.40337760678640006,False,6.257254537620541
11,Cueva Victoria,-0.8215,37.6322,-4.888824773506929,4.907777841441793,-5.7841061741367525,-7.110310324516968,512.274534445801,0.8952814006298233,-0.40412629978968884,False,7.172721726428224
