,site_name,lon,lat,z_pred,ss_pred,z_obs,drift_at_obs,dist_nn,residual,PES,|PES| > critical_val,ci
0,Abaco Island cave,-77.16,26.23,-0.41351895736954003,7.043139125906173,-0.9538230465245761,-2.3650423724602123,790.4064636061543,0.540304089155036,-0.20358938045479558,False,8.330720475396635
1,Abissal cave,-37.6659,-5.5642,-4.108585922323084,4.371783130966072,-3.599010704152113,-3.5747247984891235,2.9554293068707898,-0.5095752181709714,0.243713167461628,False,6.563397903237574
2,Andriamaniloke,43.7569,-24.051,-3.3590378763507776,4.5572271389490435,-2.7948362378990623,-3.9636732358008038,0.5179543279925829,-0.5642016384517152,0.26429199275040627,False,6.701156590245823
3,Ball Gown cave,125.0,-17.03,-6.972137961592899,5.48784925254063,-4.012918069548001,-5.508883265605461,431.8048314824116,-2.9592198920448975,1.263211733809997,False,7.353608683996885
4,Bittoo cave,77.7764,30.7903,-9.247263278308779,10.069952743063796,-5.599284486670285,-8.4235632152411,2620.906169912228,-3.6479787916384936,1.149578382870839,False,9.961234068132908
5,Botuverá cave,-49.1569,-27.2247,-6.895347452872115,5.611232547460836,-4.692133459882314,-6.096807515661025,302.6232291967474,-2.2032139929898014,0.9300955090241674,False,7.435814771275391
6,Bukit Assam cave,114.8,4.03,-7.309877045172353,3.78858800367549,-7.342991695597978,-7.697085493242694,8.261762994230782,0.03311465042562478,-0.017013022834278413,False,6.109956508337504
7,Cango cave,22.2147,-33.3925,-4.671918157067106,8.722685352255287,-6.155036132019404,-5.423103455438654,1245.2559924176435,1.4831179749522985,-0.5021698045891413,False,9.270956265626902
8,Cave C126,113.90000000000002,-22.100000000000005,-4.120959971385148,8.44327705254813,-7.340717432875522,-4.719333989765478,1291.7810081240757,3.2197574614903735,-1.108071125985749,False,9.121262387731598
9,Cave of the Bells,-110.75,31.75,-11.28492611250104,5.623927828786164,-12.387240272596841,-9.847579986302705,533.8785762011156,1.1023141600958013,-0.4648207605001628,False,7.444221696635798
10,Cold Air cave,29.1833,-24.0,-6.119569840354722,7.84327905736618,-3.956318967486974,-5.979823245595474,1245.2559924176435,-2.163250872867748,0.7724280814318617,False,8.791202068331994
11,Cueva del Diamante,-77.5,-5.73,-7.064144558475686,4.468633692981515,-6.394089933163817,-3.478190822970406,31.369435063083298,-0.6700546253118693,0.31697340966933774,False,6.635700970436031
