,site_name,lon,lat,z_pred,ss_pred,z_obs,drift_at_obs,dist_nn,residual,PES,|PES| > critical_val,ci
0,Abaco Island cave,-77.16,26.23,-0.890086720348328,7.007115478007268,-2.052174041986234,-2.661401586570715,790.4064636061545,1.162087321637906,-0.43900465535939115,False,8.26882440936502
1,Andriamaniloke,43.75690000000001,-24.051,-2.67431157279506,4.55994812079924,-2.917772662286471,-4.082906557273056,0.5179543279930388,0.24346108949141065,-0.11401174960363003,False,6.670433872163632
2,Ball Gown cave,125.0,-17.03,-7.048112707315552,5.635436094283928,-0.8196560645679938,-5.291392206740081,431.8048314824116,-6.228456642747558,2.623715137591303,False,7.415456590414282
3,Bittoo cave,77.7764,30.7903,-8.987635127778406,9.408956005111065,-7.366145689406024,-9.097260829584187,1513.2152654258205,-1.6214894383723815,0.5286197747525526,False,9.581750349235705
4,Botuverá cave,-49.1569,-27.2247,-7.284389336347163,5.613786071410749,-4.267039291404728,-5.915544065317558,302.6232291967474,-3.017350044942434,1.2734965318995608,False,7.401198661402607
5,Bukit Assam cave,114.8,4.03,-8.323033869739017,3.799089242666306,-7.701749615648786,-8.603554099659592,8.261762994230782,-0.6212842540902317,0.31875029780028297,False,6.0885500442498826
6,Buraca Gloriosa,-8.7833,39.5333,-5.1313773650948935,6.742461980436912,-2.581486968973479,-6.736888296307956,557.0244943402973,-2.5498903961214143,0.9820017463410137,False,8.111167789235918
7,Cave C126,113.90000000000002,-22.100000000000005,-2.707467091786465,8.604731824642045,-6.090382796373547,-4.262578234634477,1291.7810081240757,3.3829157045870817,-1.1532474589537662,False,9.163107931294999
8,Cave Without a Name,-98.6208,29.8852,-7.510677685970069,6.647883031728483,-4.658817574816183,-8.158276749697597,760.5050497606261,-2.8518601111538855,1.106079985955802,False,8.05407773683971
9,Cave of the Bells,-110.75,31.75,-11.447694839846521,5.538417949238801,-11.896195265114898,-10.481270800302646,533.8785762011134,0.4485004252683762,-0.19057678497229796,False,7.351348226015282
10,Cold Air cave,29.1833,-24.0,-6.34241460149009,8.876342506192358,-4.871412131129773,-6.604185270086738,1479.1148888216565,-1.4710024703603173,0.49373779842647797,False,9.306602355745484
11,Cueva del Diamante,-77.5,-5.73,-7.445118387462699,4.448716857048343,-7.5383149876169,-4.362465787586553,31.369435063083298,0.09319660015420084,-0.04418579635741944,False,6.588575318983432
12,Devils Hole,-116.2915,36.4254,-14.0011424654328,4.326161659803631,-19.039974003826046,-11.76922586555916,87.22634739701041,5.0388315383932465,-2.4225818932960976,False,6.497189059492057
13,El Condor cave,-77.3,-5.93,-8.053947522168839,4.406136395994904,-6.549213485695759,-4.303520437398031,31.369435063083298,-1.5047340364730797,0.7168541043608216,False,6.5569685526862065
14,Fort Stanton cave,-105.4433,33.5067,-14.20031884708871,6.101735345958547,-10.126125317940554,-12.761821124136583,533.8785762011134,-4.074193529148156,1.6493581517878135,False,7.7161527372610825
15,Gempa bumi cave,120.0,-5.0,-3.637176684604764,6.868903337936855,-6.549181756462114,-4.928112038489492,1158.3659220669783,2.91200507185735,-1.1110879168274466,False,8.1868688776787
16,Gunung-buda cave (snail shell cave),114.48,4.02,-8.313632646656341,3.90901618770342,-7.554559825298185,-8.549574978723054,35.512025867917906,-0.7590728213581563,0.3839279299849077,False,6.176008239638384
17,Haozhu cave,109.9833,30.6833,-9.680297165431663,3.984860911853191,-9.676062662016989,-9.978403185338514,117.46176400876634,-0.004234503414673796,0.0021212697740692734,False,6.235635429465724
18,Hulu cave,119.17,32.5,-10.567566488177313,7.357381368990373,-7.77636974068497,-10.171599187988006,828.0634577586505,-2.791196747492343,1.0290318482262135,False,8.472971905795099
19,Jaraguá cave,-56.583,-21.083,-6.615310564568864,6.9335771675546605,-5.9442692174499845,-5.116838604569343,891.6297858599766,-0.6710413471188792,0.2548417647892354,False,8.225320116221976
20,Jeita cave,35.65,33.95,-5.851660311613974,4.647297097724044,-4.816275363575812,-5.6617875498589685,245.40884781618348,-1.0353849480381614,0.4802878810822288,False,6.7340192107598265
