,site_name,lon,lat,z_pred,ss_pred,z_obs,drift_at_obs,ele (SISAL),ele (iTraCE),dist_nn,residual,PES,|PES| > critical_val,ci
0,Arch cave,-127.07,50.55,-10.169449570774539,6.174550355735598,-13.55890753010226,-10.937398858276309,660.0,373.8775389147794,748.6036172344031,3.3894579593277214,-1.3640414985500704,False,8.516219306778824
1,Ball Gown cave,125.0,-17.03,-6.4586965717167715,3.3505983061865163,-1.7196865900345604,-8.064011727385898,100.0,247.80370763612615,431.8048314824116,-4.739009981682211,2.588966561008979,False,6.273434249619976
2,Bleßberg cave,11.0203,50.4244,-10.221891706031379,3.1602155333680217,-9.36211064069214,-11.073088799758704,500.0,487.6241014707861,344.639810413006,-0.8597810653392379,0.4836481432735657,False,6.092597950113916
3,Botuverá cave,-49.1569,-27.2247,-5.213147831338534,3.0293660194176724,-2.7781594068649156,-6.01565951824334,180.0,445.5024668075201,302.6232291967474,-2.4349884244736186,1.399010668078487,False,5.965131789421516
4,Bukit Assam cave,114.8,4.03,-7.566687327520633,0.9473263657314979,-6.905421087529558,-8.81191988321099,150.0,290.1335075052304,8.261762994232686,-0.6612662399910745,0.6794015583205067,False,3.3357537323765762
5,Buraca Gloriosa,-8.7833,39.5333,-5.455944120812161,3.727854118736873,-5.176116816167905,-7.821588827328664,420.0,246.4429210161297,543.5365932927459,-0.27982730464425565,0.14493078177163748,False,6.617190273989329
6,Cave of the Bells,-110.75,31.75,-7.970259146360569,3.4304914610337787,-10.45509229404512,-10.513219630984583,1639.0,1151.0977655174233,524.7484788129576,2.48483314768455,-1.34158767742243,False,6.347786913126158
7,Chaara cave,-4.2461,33.9558,-6.871121868343975,3.924801014092768,-5.4461322551646845,-8.271024226280963,1260.0,844.7972772717819,512.274534445801,-1.4249896131792905,0.7192881031313657,False,6.789737587962391
8,Chan Hol cave,-87.57,20.16,-1.560647761073655,2.6802517450398993,-6.082910281382245,-3.311690529024117,-8.5,30.80650071453252,447.2796244410764,4.5222625203085896,-2.7622817626668157,False,5.610892680429336
9,Chauvet cave,4.26,44.23,-9.251229929984323,2.6838671222276225,-7.345439108074868,-9.915815951055727,240.0,488.55094771394647,381.88150804290535,-1.9057908219094548,1.1633080302274867,False,5.614675656655109
