,site_name,lon,lat,z_pred,ss_pred,z_obs,drift_at_obs,ele (SISAL),ele (iTraCE),dist_nn,residual,PES,|PES| > critical_val,ci
0,Abaco Island cave,-77.16,26.23,-0.2999541969165889,6.613495984605381,-2.0521635564435883,-3.073931834144159,-45.0,25.372308159508755,790.4064636061545,1.7522093595269994,-0.6813502956663743,False,8.543808526392068
1,Andriamaniloke,43.75690000000001,-24.051,-2.5299128883765762,1.2957248828803,-2.9177780950172325,-5.849883964444341,20.0,209.70584420127446,0.5179543279930388,0.38786520664065627,-0.3407410234985568,False,3.7817460267941962
2,Ball Gown cave,125.0,-17.03,-7.8748563431582115,4.125117442697463,-0.8196649882825113,-8.743407395225406,100.0,308.47486350026804,431.8048314824116,-7.0551913548757,3.4736866428251068,True,6.747674406634242
3,Bittoo cave,77.7764,30.7903,-7.4741659155378235,11.373918900346473,-7.36651077565557,-9.205333697441107,3000.0,2059.752580652876,1513.2152654258205,-0.10765513988225361,0.03192123650989023,False,11.204462397481702
4,Botuverá cave,-49.1569,-27.2247,-6.376044368718552,3.9583345824606244,-4.267044406067214,-6.52233576972684,180.0,491.9509270705896,302.6232291967474,-2.108999962651338,1.060035285075139,False,6.609859225335208
5,Bukit Assam cave,114.8,4.03,-7.99542999245462,1.0789429258220384,-7.701765568355573,-9.177220906208701,150.0,344.18292536833656,8.261762994230782,-0.29366442409904714,0.2827171155664833,False,3.45092241757225
6,Buraca Gloriosa,-8.7833,39.5333,-4.4286964645637585,6.480087361092398,-2.581488933546268,-7.517650757505491,420.0,254.14842971285285,557.0244943402973,-1.8472075310174905,0.7256467593593846,False,8.457195893125473
7,Cave C126,113.90000000000002,-22.100000000000005,-3.262093591481682,9.969698880034748,-6.090441704661809,-7.774942247734406,100.0,76.49881126895386,1291.7810081240757,2.828348113180127,-0.8957603620807777,False,10.49003604420898
8,Cave Without a Name,-98.6208,29.8852,-8.031893391855391,6.161959930834188,-4.658900068098319,-9.280001841992775,377.0,342.377249097569,760.5050497606261,-3.372993323757072,1.3588015907336162,False,8.24698861018838
9,Cave of the Bells,-110.75,31.75,-11.08759988389553,4.538747843917124,-11.896229837551004,-11.06334554084018,1639.0,1187.853023800812,533.8785762011134,0.8086299536554744,-0.37956118761066937,False,7.077892913715826
10,Cold Air cave,29.1833,-24.0,-8.509119882741375,8.94347156426298,-4.871443012307083,-9.013633291160616,1420.0,1059.0845205857313,1240.267604913746,-3.6376768704342926,1.216384992987431,False,9.935483925526425
11,Cueva del Diamante,-77.5,-5.73,-6.996068395114925,1.5311706318589007,-7.538337331114803,-5.7227575149876735,960.0,677.3938611838307,31.369435063083298,0.5422689359998785,-0.43823083381894334,False,4.111002634906114
12,Efflux cave,22.34,-33.41,-2.3984077003885558,10.591449357204118,-5.382168819898766,-5.816220606093182,716.0,725.5178649709108,1240.267604913746,2.98376111951021,-0.9168248023315303,False,10.812189700074011
13,El Condor cave,-77.3,-5.93,-7.901665659319173,1.497282866709572,-6.5492345206548634,-5.660324378569502,860.0,661.581890898128,31.369435063083298,-1.3524311386643095,1.1052568978359196,False,4.065255886197263
14,Fort Stanton cave,-105.4433,33.5067,-11.717093607041775,4.725460400176317,-10.126033515558625,-12.289433380465972,1864.0,1611.3943920003303,533.8785762011134,-1.5910600914831505,0.7319215232658851,False,7.222008975791812
15,Gempa bumi cave,120.0,-5.0,-2.035584505832009,7.065161365220702,-6.5491969751939605,-6.0075357375114296,140.0,62.45212883545308,1158.3659220669783,4.513612469361952,-1.6980998589387937,False,8.830738054303215
16,Gunung-buda cave (snail shell cave),114.48,4.02,-7.940501236368684,1.3056677233755458,-7.55457411505725,-9.110025534726756,150.0,330.7917453213898,35.512025867917906,-0.38592712131143436,0.337745029111712,False,3.796228051255509
17,Haozhu cave,109.9833,30.6833,-9.55483716968275,1.8540937750457065,-9.676112397659097,-10.658540610898013,1017.0,793.4463149585927,117.46176400876634,0.12127522797634605,-0.08906483174358944,False,4.523783453084743
18,Hulu cave,119.17,32.5,-10.601717062355336,7.892162319236315,-7.776368601101979,-10.609694270962539,86.0,125.77264416085197,828.0634577586505,-2.8253484612533573,1.0057128849919539,False,9.333272893201041
19,Jaraguá cave,-56.583,-21.083,-7.024666703443836,6.9912747512750055,-5.944270870078502,-6.380401903955956,570.0,339.0396496224587,891.6297858599766,-1.0803958333653343,0.40860597754554323,False,8.784441292605536
20,Jeita cave,35.65,33.95,-5.934398372014951,2.925135024511733,-4.816256634802983,-6.514843184810735,100.0,449.96021389842986,245.40884781618348,-1.1181417372119684,0.6537683620350564,False,5.682100603485939
21,Jerusalem west cave,35.15,31.7833,-3.8245074523139837,1.3103291548394418,-4.169855968391403,-5.867641728089678,700.0,440.6360431761728,12.425870552915981,0.345348516077419,-0.3016944994711368,False,3.8029985681622023
22,Jiuxian cave,109.1,33.5667,-10.697088622830659,2.749402814217989,-12.025912637353088,-12.465332022838652,1495.0,1111.2694605973786,245.38036021621252,1.3288240145224286,-0.8013980505620246,False,5.508776418049727
23,Juxtlahuaca cave,-99.2,17.4,-2.494752979741625,9.771731467343358,-7.803662777436709,-5.824800531901962,934.0,837.5998834373452,1389.536138899971,5.308909797695084,-1.6983202365048904,False,10.385363972361812
24,KNI-51,128.62,-15.300000000000002,-2.961927894249087,4.667143790821168,-7.582637471775153,-8.723157358269248,100.0,260.1320736330189,431.8048314824116,4.620709577526066,-2.1388635641797236,False,7.177307453888815
25,Karaca cave,39.4029,40.5443,-13.194408036781454,6.538159608945337,-12.995997287377918,-10.294933389261956,1536.0,1278.4290201694168,634.2843089556081,-0.19841074940353565,0.07759566122607019,False,8.495006567738248
26,Lapa sem fim cave,-44.6281,-16.1503,-6.414187709869485,4.480660627766197,-5.9625013966057,-6.466473049042564,341.0,802.6088843745299,552.5911834969799,-0.45168631326378517,0.21338599166268069,False,7.0324553801474226
27,Larga cave,-66.8,18.32,-0.23999375316217375,10.305473278892109,-0.11375274353385975,-2.365439744356131,350.0,42.55174331010798,1380.8809779355013,-0.126241009628314,0.03932479691091239,False,10.66522275446644
28,Mairs cave,138.83,-32.16,-6.557685734325205,12.61177741319901,-6.969759893099808,-8.64968956790868,475.0,265.4790920513223,2140.5644372408224,0.41207415877460285,-0.11603452589180414,False,11.798426962918724
29,Mawmluh cave,91.8817,25.2622,-5.926888932797193,8.184625630651905,-4.329218669032571,-7.277810487377298,1160.0,415.92681557752763,1164.9010435908551,-1.5976702637646225,0.5584544326119759,False,9.504633377499893
30,McLean's cave,-120.42,38.07,-13.755122760456347,6.023436116733545,-12.575868649733874,-11.352388226157956,300.0,1167.5714197608318,495.19905039183885,-1.1792541107224732,0.48049098572604704,False,8.153763566790417
31,Meravelles cave,0.5127,40.9488,-7.079956566389041,3.651584608505342,-7.177606661446392,-9.018717459317443,125.0,488.151422295411,257.1628245764518,0.09765009505735112,-0.051101304457196454,False,6.348580688818027
32,Mitoho,43.7533,-24.0477,-2.9020370786403666,1.2955447896203163,-2.524263351928235,-5.850982001245955,20.0,209.77227482494706,0.5179543279930388,-0.3777737267121317,0.3318986870888475,False,3.781483204552193
33,Moomi cave,54.20000000000001,12.550000000000002,-0.07777938960719666,14.562655215951548,-0.1630633625874983,-2.8237281891992385,400.0,11.93057759159147,2891.7975886288827,0.08528397298030163,-0.022348436243429144,False,12.678160442062813
34,Nettlebed cave,172.68,-41.23,-4.849189576526555,1.7188362764272949,-6.267349405547748,-8.480224656907938,390.0,194.87535203435476,61.27911109014511,1.4181598290211923,-1.081702725153995,False,4.3556524142712485
35,Ostolo cave,-0.2678,43.1878,-7.921644515120209,2.8921018087148713,-8.098035030780977,-9.30667924155902,248.0,492.48559870122074,257.1628245764518,0.1763905156607679,-0.10372141700530753,False,5.6499258525043645
36,Pacupahuain cave,-75.82,-11.24,-10.973266393381051,6.2430899161910425,-17.751808155373435,-9.813277392505917,3800.0,1721.6699237972057,612.4413230623701,6.7785417619923845,-2.7129168381709983,False,8.30110208529428
37,Paixão cave,-41.0184,-12.6182,-1.8226924069626194,4.379660023598472,-3.5157999920745455,-4.058994384406276,598.0,570.3319097349624,552.5911834969799,1.6931075851119262,-0.8090294962597872,False,6.952742726234111
38,Paraiso cave,-55.45,-4.0667,-3.1683760311663387,10.017977291723676,-2.516586354816968,-4.117675020230677,60.0,225.97544347274896,1789.676118266275,-0.6517896763493707,0.2059289741189353,False,10.515404445570194
39,Pindal cave,-4.53,43.4,-6.214809610906355,3.851981979472718,-5.148491037139499,-8.470784800796395,24.0,450.62187930429997,345.71960837197975,-1.0663185737668552,0.5433064372519862,False,6.520457719483535
40,Pinnacle cave,-115.5,35.97,-13.024358428737933,4.156444692316287,-15.220797687489307,-12.116175010790107,1792.0,1269.8768581241336,495.19905039183885,2.196439258751374,-1.0773534199838546,False,6.773247771448745
41,Rainha cave,-37.6432,-5.5782,-3.914912995133211,7.413371927472874,-1.6848957880851572,-4.824082382226056,100.0,327.47917103982,865.9907214226611,-2.230017207048054,0.8190309615403462,False,9.045734868489465
42,Ruakuri cave,175.08,-36.27,-4.751663773573401,6.296923879635264,-4.9136539837182225,-7.77376354793336,80.0,64.34113662940463,535.0038415997075,0.16199021014482184,-0.06455420649708,False,8.336815330085535
43,Sanbao cave,110.43329999999999,31.667,-9.914355719186444,1.8652753357685445,-10.516050644117058,-11.043589479999758,1900.0,776.5670321977702,117.46176400876634,0.601694924930614,-0.44055980836787617,False,4.537403833554421
44,Sant'Angelo cave,17.5,40.7,-11.480776169443928,8.071078016407906,-6.038586505212834,-8.253834591444672,148.0,407.0277317661095,1027.6524511591685,-5.442189664231094,1.9156135508555232,False,9.438472883723518
45,Santana cave,-48.7267,-24.5308,-5.5324363715192115,3.2752720284187804,-7.505954491339821,-7.045968592401789,250.0,650.6065104373724,302.6232291967474,1.9735181198206098,-1.0904793102596688,False,6.0125631101958925
