,site_name,lon,lat,z_pred,ss_pred,z_obs,drift_at_obs,dist_nn,residual,PES,|PES| > critical_val,ci
0,Abaco Island cave,-77.16,26.23,-0.03668052011224601,7.04013502504485,-0.86363183033734,-2.3681796647582867,790.4064636061545,0.826951310225094,-0.3116660129928608,False,8.354828127985575
1,Abissal cave,-37.6659,-5.5642,-4.295908906334911,4.371313067728461,-3.665888593214553,-3.6010594416522954,2.9554293068707898,-0.6300203131203581,0.3013343191832447,False,6.583441509774761
2,Andriamaniloke,43.7569,-24.051,-3.415528455843107,4.555499521835091,-1.6109940485609286,-3.9934376060084174,0.5179543279925829,-1.8045344072821783,0.8454679802080428,False,6.720708028997079
3,Ball Gown cave,125.0,-17.03,-6.834450983989277,5.487243996537165,-3.663771122340014,-5.425426619339328,431.8048314824116,-3.1706798616492633,1.353552976510625,False,7.376055262567181
4,Bittoo cave,77.7764,30.7903,-7.899111328479107,6.08746455630911,-5.114914409331884,-8.375807474828838,415.78989200577837,-2.784196919147223,1.1284484537098192,False,7.769002275389579
5,Botuverá cave,-49.1569,-27.2247,-7.056109938985502,5.611238899125873,-4.994999409773072,-6.140430002131373,302.6232291967474,-2.0611105292124297,0.870105476784098,False,7.458927836461751
6,Bukit Assam cave,114.8,4.03,-7.128916207815149,3.7857081130572574,-7.129699680566182,-7.583998126297176,8.261762994230782,0.0007834727510322992,-0.0004026709817209243,False,6.126614984106563
7,Cango cave,22.2147,-33.3925,-4.55456957490434,8.712350085270733,-5.747385136335538,-5.4747894431098585,1245.2559924176435,1.192815561431198,-0.4041156199289214,False,9.294257165915264
8,Cave C126,113.90000000000002,-22.100000000000005,-3.7890692915869244,8.445778411889071,-7.001217637633886,-4.589856742431116,1291.7810081240757,3.2121483460469613,-1.1052887574736867,False,9.150964430657732
9,Cave of the Bells,-110.75,31.75,-9.95112915844457,5.7050594066481315,-12.124210050094916,-9.88237730635685,533.8785762011134,2.173080891650347,-0.9097997380225836,False,7.52102636992888
10,Cold Air cave,29.1833,-24.0,-5.719208730402244,7.839672127709519,-3.7121733744618552,-5.9524456686562335,1245.2559924176435,-2.0070353559403884,0.7168133302902978,False,8.81649520818557
11,Cueva del Diamante,-77.5,-5.73,-6.740826586014574,4.465719607382256,-6.805731642859797,-3.5119208429020468,31.369435063083298,0.06490505684522319,-0.030713747460032716,False,6.65415252505289
12,El Condor cave,-77.3,-5.93,-6.882729515444937,4.420745382383655,-6.650680918646458,-3.480167231207764,31.369435063083298,-0.2320485967984789,0.11036495628294275,False,6.620560778133734
13,Fort Stanton cave,-105.4433,33.5067,-14.637009457736918,6.647153770602433,-9.700183522283128,-12.28675099357692,533.8785762011134,-4.93682593545379,1.914828805809405,False,8.118296123542908
14,Furong cave,107.9036,29.2289,-8.291164181198813,3.8200718594991963,-6.587577495112815,-7.458305796167284,62.70871141155851,-1.7035866860859974,0.871622577233295,False,6.154358516966026
15,Gempa bumi cave,120.0,-5.0,-4.352258863095509,5.343969619387467,-6.003140526921129,-5.167919729397313,395.3784849177935,1.6508816638256203,-0.7141409774695598,False,7.2791222977966346
16,Gunung-buda cave (snail shell cave),114.48,4.02,-7.3745347630843385,3.896129359106794,-6.382201928317556,-7.54196054059824,35.512025867917906,-0.9923328347667821,0.5027368015447343,False,6.21532309529133
