,site_name,lon,lat,z_pred,ss_pred,z_obs,drift_at_obs,ele (SISAL),ele (iTraCE),dist_nn,residual,PES,|PES| > critical_val,ci
0,Abaco Island cave,-77.16,26.23,-0.5101717924220844,5.940261131959332,-1.1198447889539693,-2.952924560321928,-45.0,24.013011761034818,790.4064636061545,0.6096729965318849,-0.2501463621519305,False,8.059755304785657
1,Abissal cave,-37.6659,-5.5642,-3.5139685655299977,0.9011954088446681,-2.4915418597867074,-4.799899231724091,100.0,321.59958303813676,2.9554293068707898,-1.0224267057432903,1.0770173497812234,False,3.1392693048464277
2,Andriamaniloke,43.7569,-24.051,-3.2727815938748765,0.8922543416661003,-2.090959161723712,-5.4982048327952056,20.0,206.5847598742003,0.5179543279925829,-1.1818224321511646,1.2511457186259647,False,3.1236576050576814
3,B7 cave,7.0,49.0,-16.081971448818628,3.796410139742111,-10.57773205908262,-12.039160762918353,185.0,599.973468420185,257.3749081169504,-5.504239389736007,2.8249499097601714,False,6.443259914327165
4,Ball Gown cave,125.0,-17.03,-7.104942459140182,3.4627822427637733,-3.237286151235753,-8.466624083157853,100.0,301.02239160864843,431.8048314824116,-3.8676563079044293,2.078429430951916,False,6.153634242432087
5,Bittoo cave,77.7764,30.790299999999995,-7.683425013623277,12.823912922437534,-5.945099481444371,-7.763567467158359,3000.0,2053.526057548692,2620.906169912228,-1.738325532178906,0.4854235352880367,False,11.842117571183097
6,Botuverá cave,-49.1569,-27.2247,-6.526185937822567,3.4349903538299844,-4.746370769942757,-6.4565057258328284,180.0,486.4353633537033,302.6232291967474,-1.7798151678798098,0.960311528707053,False,6.128890316840636
7,Bukit Assam cave,114.8,4.03,-7.297783215968653,0.7595882272510361,-7.543129478804322,-8.746043178039237,150.0,337.63248535156237,8.261762994230782,0.2453462628356693,-0.28150773636203924,False,2.8820943953275915
8,Cango cave,22.2147,-33.3925,-2.6541237900448387,9.750120431262241,-6.286448285347319,-5.8073224594716715,687.0,717.9051210452577,1245.2559924176435,3.6323244953024805,-1.1632676466327723,False,10.32580878296745
9,Cave C126,113.90000000000002,-22.1,-4.273778649565216,9.039681933702223,-6.94184845292639,-7.5554303539159395,100.0,73.54484710210096,1291.7810081240757,2.668069803361174,-0.8874024281047549,False,9.942501456293137
