,site_name,lon,lat,z_pred,ss_pred,z_obs,drift_at_obs,dist_nn,residual,PES,|PES| > critical_val,ci
0,Abaco Island cave,-77.16,26.23,-0.5926917579974126,7.6295531253737225,-1.133042314870139,-2.720367944069758,790.4064636061545,0.5403505568727264,-0.19562576475693405,False,8.760939078926512
1,Ball Gown cave,125.0,-17.03,-6.149136514924098,5.786623238399328,1.0001733140641516,-5.692985173350409,431.8048314824116,-7.14930982898825,2.9720185451939862,False,7.6298098229680775
2,Bittoo cave,77.7764,30.7903,-7.876742936405161,5.029322924400045,-7.546343679150058,-8.250498220351917,415.78989200577837,-0.33039925725510244,0.14732766352969745,False,7.113050148896747
3,Botuverá cave,-49.1569,-27.2247,-6.211715530324432,5.615621963496453,-4.64423143454106,-5.971354371071601,302.6232291967474,-1.5674840957833727,0.6614609511783759,False,7.516229661171403
4,Bukit Assam cave,114.8,4.03,-7.214036531710155,3.788687176876902,-6.24771175504867,-8.400518789877454,8.261762994230782,-0.9663247766614855,0.4964536876795662,False,6.173699457336008
5,Buraca Gloriosa,-8.7833,39.5333,-5.533559835591277,6.35746629311047,-5.6398036067421184,-7.799879801053514,557.0244943402973,0.10624377115084105,-0.042136789688582775,False,7.997295487410726
6,Cave Without a Name,-98.62079999999999,29.8852,-5.240693559815176,7.006088995810231,-3.712385498072867,-7.061329301551462,760.5050497606271,-1.5283080617423086,0.5773950802945983,False,8.395352475434041
7,Cave of the Bells,-110.75,31.75,-10.086645261839111,5.766506210627998,-10.468650978795646,-9.726015259400777,533.8785762011134,0.3820057169565345,-0.15907923007994754,False,7.616535870072526
8,Chauvet cave,4.26,44.23,-10.080123425185075,4.4566049099740646,-8.245654271232638,-10.922177050846859,305.11447180307584,-1.834469153952437,0.8689771294126089,False,6.695810851838413
9,Cold Air cave,29.1833,-24.0,-5.056267661559761,9.008745956330216,-4.007662529235972,-5.656262212518595,1479.1148888216565,-1.0486051323237886,0.349365333441888,False,9.519919581559499
10,Cueva Victoria,-0.8215,37.6322,-6.036567421993786,5.371083125892885,-5.898950252556858,-8.406242852479433,386.23519573877434,-0.13761716943692814,0.05938020381996606,False,7.350756668756763
11,Cueva del Diamante,-77.5,-5.73,-5.505663043498636,4.746694609504683,-6.1253594245097815,-3.4606739605341406,31.369435063083298,0.6196963810111455,-0.28443518247056554,False,6.910297665308624
12,Devils Hole,-116.2915,36.4254,-11.970719284539738,4.645868078022968,-18.870406096449983,-11.48056736238262,340.26151454309263,6.899686811910245,-3.201075673834717,True,6.836511465423518
13,Dongge cave,108.0833,25.2833,-6.9241806564913295,4.0019926449568155,-5.8213158753739735,-6.7573084053224175,28.87317596314033,-1.102864781117356,0.5512950907331284,False,6.34511142074533
14,El Condor cave,-77.3,-5.93,-5.1105993519665605,4.740759235716869,-6.6774137352883445,-3.4536499192468844,31.369435063083298,1.566814383321784,-0.719604051459947,False,6.905975918007755
15,Exhaleair cave,172.633,-41.2833,-5.453497183966834,3.5849293682992367,-6.439655434778729,-8.297561895889993,7.110654001998993,0.9861582508118945,-0.520842375410866,False,6.005392695683876
16,Fort Stanton cave,-105.4433,33.5067,-12.480399681779284,5.884095480601916,-9.920311154389148,-12.143227146909013,533.8785762011134,-2.5600885273901355,1.0553952317481636,False,7.693801288145913
17,Furong cave,107.9036,29.228899999999996,-7.78205067676936,3.7564993806277935,-6.623627071572135,-7.854314404251148,62.70871141155921,-1.1584236051972248,0.5976896533257098,False,6.147418368624681
18,Gempa bumi cave,120.0,-5.0,-3.6527931844100454,5.356248427521207,-5.590603306324397,-5.471192506867718,395.3784849177935,1.9378101219143513,-0.8372995622924517,False,7.34059841437443
19,Gunung-buda cave (snail shell cave),114.47999999999999,4.02,-6.901564421813637,3.89784618634154,-6.849366627812719,-8.338612431869329,35.51202586791931,-0.05219779400091795,0.026438681950139306,False,6.262005696455523
20,Haozhu cave,109.98330000000001,30.683299999999996,-7.793420809115535,3.896771258490594,-8.160236323173695,-8.328733899250576,117.461764008767,0.3668155140581604,-0.18582119074868492,False,6.261142185154375
21,Hollywood cave,171.47,-41.95,-6.169581888611819,4.2282919408098865,-4.6045342999758105,-8.372742626803634,121.82913616619264,-1.5650475886360082,0.7611058588234022,False,6.5220420174224865
22,Hulu cave,119.17,32.5,-9.458352397128792,7.478847499810537,-7.397949058177974,-9.728961953556304,828.0634577586494,-2.0604033389508176,0.7534161166735327,False,8.673980640660238
