,site_name,lon,lat,z_pred,ss_pred,z_obs,drift_at_obs,dist_nn,residual,PES,|PES| > critical_val,ci
0,Abaco Island cave,-77.16,26.23,-1.1621832698006724,7.007590333187701,-2.017656857537588,-2.604020353462274,790.4064636061545,0.8554735877369157,-0.3231634627786123,False,8.296400835929735
1,Andriamaniloke,43.7569,-24.051,-3.4524270618028763,4.5614120176762505,-2.716371795131987,-4.039444629011507,0.5179543279925829,-0.7360552666708893,0.34463610498024033,False,6.693527089531375
2,Ball Gown cave,125.0,-17.03,-7.032503856511349,5.635302074953193,-0.5606080812866594,-5.314196902271794,431.8048314824116,-6.47189577522469,2.726295421495343,False,7.43984648996553
3,Bittoo cave,77.7764,30.7903,-10.161849869822817,10.193576674095201,-6.718381951206232,-9.164227413509664,2620.906169912228,-3.4434679186165846,1.0785312775612228,False,10.00618829525277
4,Botuverá cave,-49.1569,-27.2247,-7.240301440568861,5.612668159721165,-4.196348647013451,-5.864768379346008,302.6232291967474,-3.04395279355541,1.2848523701669101,False,7.424890567604629
5,Bukit Assam cave,114.8,4.03,-8.542034414182321,4.605791347063344,-7.593429108301223,-8.76146300922439,35.51202586791931,-0.9486053058810988,0.442011348349027,False,6.72600992639882
6,Buraca Gloriosa,-8.7833,39.5333,-5.0085149123848,6.728964248386772,-3.5415449576685205,-6.567686896143292,557.0244943402973,-1.4669699547162791,0.565518880125,False,8.129792940342043
7,Cango cave,22.2147,-33.3925,-5.0399273191290455,4.57256435349975,-6.228361539119533,-5.2577587205716,11.793185448852327,1.1884342199904872,-0.5557701728314646,False,6.7017046987643125
8,Cave C126,113.9,-22.1,-2.8375754777461037,8.597835252216775,-6.278053904429726,-4.304537021478321,1291.781008124078,3.440478426683622,-1.1733410890214468,False,9.189670370438467
9,Cave Without a Name,-98.6208,29.8852,-7.224664832073008,6.640639140640013,-4.660841793150965,-7.987587883644488,760.5050497606261,-2.5638230389220427,0.9949084178786076,False,8.076260423838209
10,Cave of the Bells,-110.75,31.75,-11.204449570732875,5.537225970831581,-12.260830309949483,-10.423259604749937,533.8785762011134,1.0563807392166087,-0.4489255781365276,False,7.374821238705357
11,Cold Air cave,29.1833,-24.0,-6.907899777412429,7.72813333370975,-4.211274941501112,-6.665514202466235,1240.267604913746,-2.696624835911317,0.9700256691582322,False,8.712497717644336
12,Devils Hole,-116.2915,36.4254,-13.9487393014633,4.258480968254894,-19.476944052992167,-11.764127117792205,87.22634739701041,5.528204751528866,-2.678901618132168,False,6.467444782246384
13,Efflux cave,22.34,-33.41,-5.604966671013585,4.56760637417385,-5.3821143682375805,-5.250910781613987,11.793185448852327,-0.22285230277600476,0.10427322143557398,False,6.698070422398539
14,El Condor cave,-77.3,-5.93,-9.016886286229575,7.040300301436919,-6.729685975478901,-4.1563625299057705,612.4413230623701,-2.2872003107506735,0.8620026664738567,False,8.3157412262438
15,Fort Stanton cave,-105.4433,33.5067,-14.26521805742931,6.112036068967758,-9.204248682159957,-12.672742781942455,533.8785762011134,-5.060969375269353,2.0471079981073443,False,7.748155504896611
16,Gempa bumi cave,120.0,-5.0,-3.7830148697418378,6.951203770038315,-6.572133072250456,-5.063441900822024,1158.3659220669783,2.7891182025086185,-1.0578812266387752,False,8.2629549321544
17,Gunung-buda cave (snail shell cave),114.47999999999999,4.02,-8.468780939153257,4.6160306087533245,-7.546847640612168,-8.706543270364147,35.51202586791931,-0.9219332985410889,0.4291065672234337,False,6.73348216479553
18,Haozhu cave,109.9833,30.6833,-9.91735097567474,4.01365557525031,-9.528874179912123,-9.990665009430437,117.46176400876634,-0.3884767957626174,0.19390768976028575,False,6.278782294267958
19,Hollywood cave,171.47,-41.95,-5.752407489681248,4.31708233718506,-4.512604008826088,-8.268041816954488,128.58921406274007,-1.2398034808551603,0.596702263731892,False,6.511792302837361
20,Hulu cave,119.17,32.5,-10.378280559366072,7.402282408179893,-7.697443054157718,-10.244916437201612,828.0634577586505,-2.6808375052083537,0.9853435218644362,False,8.526841675675064
21,Jaraguá cave,-56.583,-21.083,-6.575225662783735,6.935559529001098,-5.322423369164994,-5.006336801831905,891.6297858599766,-1.2528022936187408,0.4757094600463488,False,8.253651473596529
22,Jeita cave,35.65,33.95,-6.104184392511265,5.120385229826777,-5.079101859203774,-5.588389625034669,250.92203809450007,-1.0250825333074909,0.4530097146606719,False,7.091803476863909
23,Jiuxian cave,109.1,33.5667,-11.682979499524192,5.006823396976083,-12.019015869636291,-11.648820351566723,245.38036021621252,0.3360363701120992,-0.1501775960976461,False,7.012720188808907
24,Juxtlahuaca cave,-99.20000000000002,17.4,-2.660395288548178,8.531597300532951,-7.860069025904284,-4.476911971184435,1389.536138899971,5.199673737356106,-1.78016771257724,False,9.15420319575364
25,KNI-51,128.62,-15.300000000000002,-3.03061410500637,6.020486524290525,-7.354956163100003,-5.261820451221853,431.8048314824116,4.324342058093633,-1.7623990306583321,False,7.689908432511498
26,Karaca cave,39.4029,40.5443,-12.297106185615801,6.930689337422944,-13.080267187778418,-9.656532443323695,634.2843089556081,0.7831610021626165,-0.2974834690298827,False,8.25075308285919
27,La Mine cave,9.68,36.03,-5.709897427805472,7.067669661133689,-6.139395432824358,-6.618746977943731,856.4254274621903,0.42949800501888635,-0.16155597684541276,False,8.331889382929518
28,Lake Shasta cave,-122.304,40.804,-12.647113382112606,5.978069422712019,-12.112813164502313,-10.154524943755401,344.357137242901,-0.5343002176102924,0.21852688442884638,False,7.6627710751613325
29,Lapa sem fim cave,-44.6281,-16.1503,-3.806581178398959,5.6061409409520735,-5.549575733788644,-3.4126066431026056,552.5911834969799,1.7429945553896848,-0.736146115158694,False,7.4205719456865955
30,Larga cave,-66.8,18.32,-0.7623922623918853,9.021490939641968,0.0061148320430675085,-1.6291702032428117,1380.8809779355013,-0.7685070944349528,0.2558637274092748,False,9.413357070508859
31,Mairs cave,138.83,-32.16,-7.023884408318089,9.66076553827856,-7.385593888197074,-7.106678726692909,2140.5644372408224,0.36170947987898483,-0.11637350640302686,False,9.741170507635424
32,McLean's cave,-120.42,38.07,-14.46871362401047,4.915572664713517,-12.634622635815706,-10.939326249833115,344.357137242901,-1.8340909881947631,0.8272443634886475,False,6.948521959922731
33,Meravelles cave,0.5127,40.9488,-7.261200938309023,4.851504549928942,-6.816733827028315,-8.350612576644586,257.1628245764518,-0.4444671112807077,0.20179082179304883,False,6.903090954658489
34,Mitoho,43.7533,-24.0477,-2.789167562357819,4.561136766865677,-3.6475629335894957,-4.039421545243479,0.5179543279925829,0.8583953712316768,-0.40193036702599455,False,6.693325131612993
35,Moomi cave,54.20000000000001,12.550000000000002,-0.6088182007979173,10.985519268588536,-0.5223772294178843,-1.4471616604818696,2898.4714265066846,-0.08644097138003293,0.02608010547898914,False,10.38761079994978
36,Nettlebed cave,172.68,-41.23,-5.004830824626469,3.740703422858344,-6.246232041414032,-8.282467443529171,61.27911109014511,1.2414012167875628,-0.641852930220092,False,6.061526562972339
37,Ostolo cave,-0.2678,43.1878,-7.444618204152339,4.294640735457617,-8.182170136542034,-8.767725630474077,257.1628245764518,0.7375519323896951,-0.35590098144127413,False,6.494845039894321
38,Pacupahuain cave,-75.82,-11.24,-9.508639809398474,6.9730317598111995,-17.822489933079765,-8.037272911983615,612.4413230623701,8.313850123681291,-3.148410625693926,True,8.275918321679713
39,Paixão cave,-41.0184,-12.6182,-3.008204746031269,5.672036388504725,-3.250195306188947,-2.4624362104290674,552.5911834969799,0.24199056015767795,-0.10160823809271194,False,7.464055815031201
40,Paraiso cave,-55.45,-4.0667,-3.2865568054334386,8.658235894943907,-2.573666682615505,-2.5001445226423,1789.676118266275,-0.7128901228179338,0.24227460296067999,False,9.22189304908003
41,Pindal cave,-4.53,43.4,-6.54080099724569,5.015594374833043,-5.195364636596929,-7.883933761733003,345.71960837197975,-1.3454363606487618,0.6007613119960199,False,7.018859959927446
42,Pinnacle cave,-115.5,35.97,-15.52407245416078,4.303976293097462,-15.036700594591343,-11.57310157632344,87.22634739701041,-0.4873718595694374,0.23492298719103577,False,6.501900354784765
43,Poleva cave,21.7469,44.7144,-12.551078917069908,6.498282880562978,-11.943717416182949,-9.916140940499707,565.2186498333958,-0.6073615008869595,0.23825825305599427,False,7.989225520427401
44,Rainha cave,-37.6432,-5.5782,-2.8326514267923613,7.434843874596309,-1.9384387938943821,-2.5183964559637873,865.9907214226611,-0.8942126328979791,0.32794791525045014,False,8.545575208967964
45,Ruakuri cave,175.08,-36.27,-5.4530805468322265,6.359985867518079,-4.745517533731368,-7.619495346691829,535.0038415997075,-0.7075630131008586,0.2805672964904059,False,7.903754634120739
46,Sanbao cave,110.43329999999999,31.667,-10.089610741872416,4.033270032619085,-10.443190336823173,-10.386281362153236,117.46176400876634,0.35357959495075697,-0.17605912705595808,False,6.294105583658744
47,Sant'Angelo cave,17.5,40.7,-9.435427240628274,5.954837059532966,-6.163731837460887,-7.6093223025175405,565.2186498333958,-3.271695403167387,1.340719489365875,False,7.647866800279694
48,Santana cave,-48.7267,-24.5308,-4.902513117630238,5.084907465971389,-7.647115643062534,-5.33917691368975,302.6232291967474,2.7446025254322963,-1.2171327028909615,False,7.067192177758533
49,Santo Tomas cave,-83.84,22.55,-1.7253265912033302,6.926281941025081,-0.39819695098938723,-2.3854997550315913,790.4064636061545,-1.327129640213943,0.5042701555499662,False,8.248129236894485
50,Sieben Hengste cave,7.81,46.75,-9.985728743971848,6.4507921963485195,-15.646412070879304,-10.508552475797458,561.429229681689,5.660683326907456,-2.2287550184056943,False,7.959978598975011
51,Sofular cave,31.9333,41.4167,-9.316469587046525,6.0337833561835446,-14.925715686140478,-8.119510819898094,634.2843089556081,5.609246099093953,-2.2835453360328204,False,7.6983957053829615
52,Soreq cave,35.0226,31.7558,-5.378767537867864,5.624359817288913,-3.7917519137559594,-5.216650364727159,250.92203809450007,-1.5870156241119044,0.669182621603159,False,7.432619878763053
53,Twin Forks cave,172.48,-40.63,-5.227921172207877,3.6168372905063166,-4.166510147438203,-8.076124776904837,7.783644865119334,-1.061411024769674,0.5581091059785463,False,5.960323885057593
54,Villars cave,0.78,45.43,-9.271373793208635,4.893821849642664,-7.2542029052928,-9.037424562776405,262.88512829976605,-2.017170887915835,0.9118399460190513,False,6.933131731045881
55,Wet Neck cave,172.48,-40.7,-5.143524803965114,3.592356751824077,-4.447538823910918,-8.082810231128162,7.783644865119334,-0.6959859800541963,0.3672068394620565,False,5.940118430981858
56,Xiaobailong cave,103.36,24.2,-7.873021565694414,7.100659332859212,-12.306903087616433,-8.433521076045832,759.7115709872944,4.43388152192202,-1.663928826115969,False,8.351312071572305
57,Yangzi cave,107.783,29.783,-10.642728159527591,4.503874294223675,-9.115267299009844,-9.920891632885866,233.88410084243444,-1.5274608605177473,0.7197421890824605,False,6.651176986107958
