,site_name,lon,lat,z_pred,ss_pred,z_obs,drift_at_obs,ele (SISAL),ele (iTraCE),dist_nn,residual,PES,|PES| > critical_val,ci
0,Abaco Island cave,-77.16,26.23,0.08523024222380823,6.323459465886868,-1.6022250604128487,-3.202386754312714,-45.0,24.650531011090585,790.4064636061545,1.687455302636657,-0.6710500430175143,False,8.315654901196115
1,Bittoo cave,77.7764,30.7903,-7.959800886491428,11.222045260820684,-7.369842488484969,-9.29393134475888,3000.0,2055.863711633612,1513.2152654258205,-0.5899583980064591,0.1761105525427795,False,11.07784020656055
2,Botuverá cave,-49.1569,-27.2247,-5.95552840801093,3.7884449322433444,-4.361304243671441,-6.589391481447221,180.0,488.61963732743976,302.6232291967474,-1.5942241643394892,0.8190659995585323,False,6.436497097869471
3,Bukit Assam cave,114.8,4.03,-7.7688403536956505,1.0050144081923948,-7.858140076221375,-9.525685866403736,150.0,339.93792499471766,8.261762994230782,0.08929972252572416,-0.08907666840925263,False,3.315165638651378
4,Buraca Gloriosa,-8.7833,39.5333,-4.159013443150616,6.2627504399566964,-4.136484842585531,-7.411598869782663,420.0,252.38240162575903,557.0244943402973,-0.02252860056508421,0.009002262280188427,False,8.27564097810468
5,Cango cave,22.2147,-33.3925,-1.618786440756447,10.389082725113628,-6.338132260474026,-5.756068972348966,687.0,720.3373725144434,1245.2559924176435,4.71934581971758,-1.4641757176680246,False,10.658784717474648
6,Cave C126,113.90000000000002,-22.100000000000005,-7.275309787806749,11.042100891184205,-6.6970292205437545,-7.959189416020478,100.0,74.73546247343462,1723.4413388586054,-0.5782805672629943,0.17402544096323017,False,10.988665256047666
7,Cave Without a Name,-98.6208,29.8852,-9.255737655027307,5.8610566508856685,-4.551217581929691,-9.637312337367092,377.0,339.9232148819883,760.5050497606261,-4.7045200730976156,1.9432441382372214,False,8.00584261049755
8,Cave of the Bells,-110.75,31.75,-11.635207296590671,4.313243388952869,-12.3747505063277,-11.132918998836985,1639.0,1184.9773277423624,533.8785762011134,0.7395432097370289,-0.3560914705822335,False,6.867854266571858
9,Cold Air cave,29.1833,-24.0,-9.835472281601799,10.296129088041814,-4.0164637760872495,-8.83696797009702,1420.0,1054.9240523180476,1245.2559924176435,-5.8190085055145495,1.813476793986784,False,10.610994215962668
10,Cueva del Diamante,-77.5,-5.7299999999999995,-7.658786544785896,1.4326601585993057,-7.745005991594245,-5.5093281030124635,960.0,674.268990340019,31.369435063083365,0.08621944680834925,-0.07203335457937368,False,3.95813570678641
11,El Condor cave,-77.3,-5.93,-8.042241373386785,1.4021161240647013,-7.295242256895449,-5.445791845990966,860.0,658.3884867210687,31.369435063083365,-0.7469991164913363,0.6308528891146831,False,3.915715048850942
12,Fort Stanton cave,-105.4433,33.5067,-11.92605826883438,4.510810030960771,-11.612156316329436,-12.343551771874356,1864.0,1609.0642104700387,533.8785762011134,-0.3139019525049438,0.14779738439096213,False,7.023383081623929
13,Gempa bumi cave,120.0,-5.0,-2.9773790556288873,6.929642534318692,-6.008984776263067,-6.083394428758135,140.0,61.23493755760404,1158.3659220669783,3.0316057206341798,-1.1516414876425245,False,8.705114831737772
14,Gunung-buda cave (snail shell cave),114.48,4.02,-7.892460393085741,1.2232654930553377,-7.252987392425837,-9.451397412594611,150.0,325.4213958807875,35.512025867917906,-0.6394730006599039,0.5781783831228983,False,3.657458868810287
15,Haozhu cave,109.98330000000001,30.683299999999996,-9.65164889899518,1.7530084051430976,-9.888568029904969,-10.61248243533751,1017.0,789.4741403754017,117.46176400876656,0.23691913090978822,-0.17894028785627494,False,4.378356169445318
