,site_name,lon,lat,z_pred,ss_pred,z_obs,drift_at_obs,ele (SISAL),ele (iTraCE),dist_nn,residual,PES,|PES| > critical_val,ci
0,Abaco Island cave,-77.16,26.23,-0.12075431845594677,7.098885542970646,-0.8219513305468148,-3.372541145379481,-45.0,23.213320269357347,790.4064636061545,0.701197012090868,-0.26317520495807645,False,8.950572642081303
1,Abissal cave,-37.6659,-5.5642,-3.096476371897105,6.8580058997648194,-3.6204408600128124,-4.933592838377098,100.0,318.7494399361756,866.3403852538111,0.5239644881157073,-0.20007965336689998,False,8.797406540830464
2,Ball Gown cave,125.0,-17.03,-6.773677088615729,3.3124647406317047,1.0108924136950463,-8.264403214446403,100.0,297.2105377116745,431.8048314824116,-7.7845695023107755,4.277194191750747,True,6.114083515436942
3,Bittoo cave,77.7764,30.790299999999995,-7.30946669231631,2.6596906013226684,-6.165955792609856,-7.694477423549842,3000.0,2050.2243676806697,415.78989200577837,-1.1435108997064534,0.7011722974560755,False,5.478621454904167
4,Botuverá cave,-49.1569,-27.2247,-5.705122599385516,3.1587831039644794,-4.701604087085059,-6.538278409193518,180.0,483.94926977098464,302.6232291967474,-1.0035185123004569,0.5646319968483,False,5.970567846189914
5,Bukit Assam cave,114.8,4.03,-6.87910985451755,0.24419263922223378,-6.327886786254355,-8.782259802166948,150.0,334.74421487531424,8.261762994230782,-0.5512230682631944,1.1154782323722368,False,1.6600532489487405
6,Buraca Gloriosa,-8.7833,39.5333,-5.553103218934768,5.853680707370204,-5.773221489639771,-8.646440678261747,420.0,249.56323903111914,557.0244943402973,0.22011827070500267,-0.09097908763915806,False,8.12774836796515
7,Cango cave,22.2147,-33.3925,-3.356608960504432,9.991688082176717,-5.723216266960208,-6.019142792506117,687.0,715.1060919210624,1245.2559924176435,2.3666073064557756,-0.7486981621239749,False,10.618793334925122
8,Cave C126,113.9,-22.1,-1.2793057527255955,9.33752893579019,-6.747006995508457,-7.6075081212950835,100.0,72.05707889319257,1291.781008124078,5.467701242782861,-1.7893232134589858,False,10.265301629317833
9,Cave Without a Name,-98.6208,29.8852,-7.24503617718157,6.153269820846877,-3.976875936553194,-8.691452833466805,377.0,335.27397139857186,760.5050497606261,-3.268160240628376,1.3174992071883318,False,8.333140692046491
10,Cave of the Bells,-110.75,31.75,-9.062008802125492,4.729708406083688,-11.261318581469084,-9.885352303016532,1639.0,1180.6268505569496,533.8785762011134,2.199309779343592,-1.0112748858191951,False,7.305886448611124
11,Chauvet cave,4.26,44.23,-10.282339239137604,2.372132082371895,-8.458712256309752,-11.595290106316344,240.0,518.7044066849156,305.11447180307584,-1.823626982827852,1.1840405497002369,False,5.1739850349205305
12,Cold Air cave,29.1833,-24.0,-6.428082154805821,8.290275240082481,-4.094885557442353,-7.513756672910272,1420.0,1048.6842706802956,1245.2559924176435,-2.333196597363468,0.8103392211131549,False,9.672532761351055
13,Dongge cave,108.08329999999998,25.2833,-6.753369277824374,0.5071349683081502,-5.93613539282361,-7.735321547790169,680.0,800.131496855169,28.87317596313951,-0.8172338850007641,1.1475842703035972,False,2.3923103174574996
14,El Condor cave,-77.3,-5.93,-2.6936627356039766,12.637746263368616,-6.691312241243395,-4.323985450565969,860.0,653.6596222519684,2429.0000768099712,3.9976495056394183,-1.124527029884052,False,11.942370768226708
15,Fort Stanton cave,-105.4433,33.5067,-10.478124234951672,3.8638421515123387,-11.022614251486862,-11.406011917184234,1864.0,1606.381394545757,533.8785762011134,0.5444900165351907,-0.27700029602544746,False,6.603366811050546
16,Furong cave,107.90360000000001,29.2289,-7.660809600497379,0.7683719271947906,-6.375146761305336,-8.648991311401055,480.0,790.7265083237356,62.70871141155874,-1.2856628391920433,1.466700184331014,False,2.9447028676960034
17,Gempa bumi cave,120.0,-5.0,-3.602946650571213,3.0914198327531377,-5.600833275742957,-6.406966629441019,140.0,59.2211973583456,395.3784849177935,1.997886625171744,-1.1362969608884372,False,5.906561482866552
18,Gunung-buda cave (snail shell cave),114.48,4.02,-6.446998059202818,0.5047756755280979,-7.101445556131267,-8.703962322630137,150.0,320.38160457979495,35.512025867917906,0.6544474969284488,-0.9211399150539948,False,2.3867390784716207
19,Haozhu cave,109.9833,30.6833,-7.685117155887846,1.0544270109072134,-8.034291816897223,-8.934127860164779,1017.0,783.6892903966801,117.46176400876678,0.34917466100937755,-0.34004348533530654,False,3.449562324399922
20,Hollywood cave,171.47,-41.95,-6.083565948803783,1.7248505973125803,-4.764378488183703,-8.490748465147453,100.0,244.82053229903192,128.58921406274007,-1.3191874606200802,1.004455665778523,False,4.411959085373468
21,Hulu cave,119.17,32.5,-8.031682610488058,7.380470827996343,-7.417883876611843,-9.521254994753843,86.0,115.7659607931253,828.0634577586494,-0.613798733876215,0.22593522930863286,False,9.126363626514172
22,Hölloch im Mahdtal,10.1506,47.3781,-14.433145532210789,2.0638281988971157,-15.755619590481238,-12.73277698497151,1240.0,900.4944126348764,190.5371248672651,1.3224740582704495,-0.9205563764593723,False,4.8260576517972815
23,Jaraguá cave,-56.583,-21.083,-5.953134187076858,6.797722126495966,-6.222088579127397,-6.3878901245824995,570.0,329.42106490380564,891.6297858599766,0.2689543920505386,-0.10315658036465519,False,8.758655373179824
24,Jeita cave,35.65,33.95,-6.338617220568314,0.9459548674631888,-5.17915287765743,-6.976018832316092,100.0,444.1493802725357,71.6017072338472,-1.1594643429108844,1.1921260802314788,False,3.2673145196300433
25,Jiuxian cave,109.1,33.5667,-9.768288058490803,2.6930856251390662,-8.864156931926345,-10.638439673564037,1495.0,1101.5176268371747,245.38036021621315,-0.904131126564458,0.5509425820939794,False,5.512908895116704
26,KNI-51,128.62,-15.300000000000002,-0.6243333476203814,3.8809336717997516,-7.162578528713387,-8.354502854121984,100.0,249.72264538690243,431.8048314824116,6.538245181093005,-3.3188917854994,False,6.617955533782484
27,Kalakot cave,74.4258,33.2219,-6.295383882720534,4.140356685386072,-9.268585822982752,-8.50987539081391,826.0,1944.6550937580355,415.78989200577837,2.973201940262218,-1.461186090180746,False,6.835568076721792
28,Karaca cave,39.4029,40.5443,-13.376172777086394,5.899800094233041,-14.08063969002012,-10.765427976563117,1536.0,1271.6873988872985,634.2843089556081,0.7044669129337269,-0.2900293517865985,False,8.159703590507371
29,Kesang cave,81.75,42.87,-15.972614055342616,11.58131920137685,-8.439898607015039,-14.611799337789474,2000.0,1761.428119070502,1248.7253824177287,-7.532715448327577,2.213464424379884,False,11.432329956949706
30,Lake Shasta cave,-122.304,40.804,-10.876234435411344,3.884733966182677,-12.601729596785868,-11.125984458127544,725.0,837.3156801706272,342.3711525772602,1.725495161374523,-0.8754535423609777,False,6.6211949637084135
31,Lapa sem fim cave,-44.6281,-16.1503,-6.0969689347574025,3.8033569675935883,-6.807918326463895,-7.226259171974071,341.0,792.9134016048868,552.5911834969799,0.7109493917064924,-0.36454835491500115,False,6.55147787691765
32,Lehman caves,-114.22,39.01,-16.325717968751736,5.238759409427347,-15.91207290558981,-15.200560070945285,2080.0,1890.2286793164578,549.1561739667437,-0.4136450631619262,0.18072307956689904,False,7.689001781998793
33,Liang Luar,120.43,-8.53,-4.803356127506043,2.9611862968866025,-3.8078634677081404,-6.943697649861479,550.0,75.1017228348463,395.3784849177935,-0.9954926597979026,0.5785024421140097,False,5.7808087302928755
34,Mairs cave,138.83,-32.16,-6.500973526191418,12.211763551283761,-5.94278841144065,-8.708825438635781,475.0,255.34001904377396,2140.5644372408224,-0.5581851147507679,0.1597309437012156,False,11.739373706081228
35,Mawmluh cave,91.8817,25.2622,-4.9238386200331,6.583492674321755,-4.081114892410409,-5.989698734757807,1160.0,405.564445967254,1095.4934508101321,-0.8427237276226913,0.32844075645315507,False,8.619536497701816
36,McLean's cave,-120.42000000000002,38.07,-11.515639134421573,0.25943409286276164,-11.409484914516632,-11.411314695871575,300.0,1151.1326817063245,3.9874656597285805,-0.10615421990494056,0.2084124886751307,False,1.7110758360932785
