,site_name,lon,lat,z_pred,ss_pred,z_obs,drift_at_obs,dist_nn,residual,PES,|PES| > critical_val,ci
0,Ball Gown cave,125.0,-17.03,-6.11296169067517,5.8228296564289375,-1.9254790518801883,-5.86692740703503,431.8048314824116,-4.1874826387949815,1.7353455915165552,False,7.751968674287049
1,Bittoo cave,77.7764,30.7903,-7.047169402520331,5.087355638017184,-7.093018967276092,-8.788348951004831,415.78989200577837,0.04584956475576085,-0.020327743311433697,False,7.245877970926012
2,Botuverá cave,-49.1569,-27.2247,-6.4261974080375,5.621817002258986,-2.7593406372114373,-5.971633483659685,302.6232291967474,-3.6668567708260627,1.5465201903092471,False,7.616988830520356
3,Bukit Assam cave,114.8,4.03,-7.381418145912729,3.709758965436763,-7.130782163494587,-8.38275224798344,8.261762994232686,-0.25063598241814233,0.13012794573490485,False,6.187537057587008
4,Buraca Gloriosa,-8.7833,39.5333,-6.394063299938106,6.015108865487336,-4.888964759896226,-7.6601289245369415,543.5365932927459,-1.5050985400418808,0.6136817222142051,False,7.878920391285698
5,Cave Without a Name,-98.6208,29.8852,-7.657332193821745,6.657175117002001,-3.7449070316748054,-7.580140046924033,760.505049760624,-3.9124251621469393,1.5163555764305323,False,8.28876748473928
6,Cave of the Bells,-110.75,31.75,-9.477871746099103,5.83985233364926,-10.772967907441407,-9.919560750318801,533.8785762011156,1.295096161342304,-0.535921380234994,False,7.763291601918999
7,Chan Hol cave,-87.57,20.16,-2.487970066338959,6.624937483670401,-5.45047348562692,-2.6487853867166464,599.3322391026998,2.9625034192879607,-1.150980505920416,False,8.268673787192682
8,Chauvet cave,4.26,44.23,-9.111718544715584,4.468013209901678,-7.7501173558076415,-10.475352910071871,305.11447180307584,-1.361601188907943,0.6441584344719677,False,6.790506834562297
9,Cold Air cave,29.1833,-24.0,-5.584950730359386,9.025964120170137,-2.3495778038113713,-5.650803253415182,1479.1148888216565,-3.235372926548015,1.0769053775407604,False,9.651432281459014
10,Coves de Campanet,2.9683,39.7937,-6.868992017791638,4.654619927679407,-4.6940538924091015,-7.662959359716245,384.72763633516615,-2.1749381253825364,1.0081027373531104,False,6.930859238622892
11,Creighton`s cave,172.47,-40.63,-5.419802902358873,3.7156168938959073,-3.8420286731707165,-8.165783901233647,69.00998942851429,-1.5777742291881562,0.8185201850310182,False,6.192420373773136
12,Cueva Victoria,-0.8215,37.6322,-6.299910415361749,5.192630067210153,-6.759694533162019,-7.863211633936565,407.22965755482494,0.45978411780026995,-0.20177170952632048,False,7.320464827076709
13,Cueva del Diamante,-77.5,-5.73,-5.545159770927468,3.941665432329379,-6.914328872719636,-3.479694423684343,31.369435063083298,1.3691691017921688,-0.6896316907159213,False,6.378004859154124
14,Cueva del Tigre Perdido,-77.3081,-5.9406,-5.918280650844499,3.842856729913183,-6.008743011215051,-3.4669256431598954,1.4804737149354987,0.09046236037055166,-0.04614671796047544,False,6.297556362705826
15,Dim cave,32.1056,36.534,-9.967795545102106,5.248067812692707,-6.825470897357922,-7.713346114798904,543.1353656193517,-3.142324647744184,1.3716753460957947,False,7.3594385860496185
16,Dongge cave,108.0833,25.2833,-8.32555065542837,3.883764904971325,-7.232055036875173,-7.871804431489695,28.87317596314033,-1.093495618553196,0.5548691518683398,False,6.3309871629986105
17,El Capitan cave,-133.319,56.162,-10.156499583606838,10.362167516913019,-12.074099798771385,-11.370905065220375,2225.9280577971836,1.9176002151645477,-0.5957070848970619,False,10.341184126563926
18,El Condor cave,-77.3,-5.93,-5.919449708590723,3.8422763236784214,-5.993297107374758,-3.46207171616959,1.4804737149354987,0.0738473987840349,-0.03767392812696684,False,6.29708076873269
19,El Soplao cave,-4.3937,43.2962,-7.202679297215884,3.4107465851933014,-7.770875678171175,-9.34605436607094,15.958928653096004,0.5681963809552917,-0.3076619134425106,False,5.932936401718929
20,Exhaleair cave,172.633,-41.2833,-5.120464102384357,3.484466636107398,-6.905938641335865,-8.5191662149802,7.110654001998993,1.785474538951508,-0.9565011714271419,False,5.996711032142937
21,Fort Stanton cave,-105.44329999999998,33.5067,-11.277118266192485,5.806655470249319,-10.77952285237088,-12.269983438915514,533.8785762011156,-0.497595413821605,0.206496806524494,False,7.741194790970308
22,Furong cave,107.90360000000001,29.2289,-8.768158218021291,3.965913274700716,-8.129427713385814,-9.167706025851885,160.3945151180028,-0.6387305046354772,0.3207347759967154,False,6.397592485803538
23,Gempa bumi cave,120.0,-5.0,-4.088791126396665,5.336384009715281,-5.760818938201396,-5.400680437284964,395.3784849177935,1.672027811804731,-0.7238023019047042,False,7.4211037545667065
24,Gunung-buda cave (snail shell cave),114.48,4.02,-7.34367341484425,3.8246524208190595,-7.085970351037645,-8.318488341844326,35.512025867917906,-0.25770306380660557,0.131772138866707,False,6.282622322232587
25,Haozhu cave,109.98330000000001,30.683299999999996,-8.668093693503605,3.78043783870643,-9.361721792043749,-9.625355314772,117.46176400876656,0.6936280985401435,-0.35674313719974815,False,6.246201886123033
26,Hollywood cave,171.47,-41.95,-5.49340068162461,3.673205273054188,-4.142739133587793,-8.566430427653817,17.653035240796594,-1.3506615480368174,0.7047319098922719,False,6.156977492468044
27,Hulu cave,119.17,32.5,-8.418745029331651,5.525903467215812,-8.094536717665758,-10.177518692880064,459.3377314185644,-0.3242083116658936,0.13791849126897698,False,7.55173277028584
28,Hölloch im Mahdtal,10.1506,47.3781,-9.74287109058904,4.9040222253425725,-15.543861700759923,-12.08176915901662,346.3432895827454,5.800990610170883,-2.6195455079351793,False,7.114119914578761
29,Jaraguá cave,-56.583,-21.083,-5.581384162305322,7.208475322384484,-6.009663543916361,-5.572887127341948,891.6297858599766,0.4282793816110386,-0.15951644374169993,False,8.625150353879901
30,Juxtlahuaca cave,-99.2,17.4,-4.035168830855749,7.164370462616388,-5.625355624393941,-4.31190005446805,976.1796141030588,1.5901867935381917,-0.5940994153372444,False,8.598723495188656
31,KNI-51,128.62,-15.3,-3.3791551880411905,5.972957205629969,-6.836434618800581,-5.686554925594835,431.8048314824116,3.4572794307593906,-1.414619957215835,False,7.851265576328648
32,Kalakot cave,74.4258,33.2219,-6.913353887513324,5.523560197243748,-8.493142661123263,-9.54304286391276,415.78989200577837,1.5797887736099394,-0.6721860226707234,False,7.550131437117466
33,Karaca cave,39.4029,40.5443,-11.097164324104915,6.8208634697392165,-15.85961495375841,-10.14771538535801,634.2843089556081,4.762450629653495,-1.8235211645789553,False,8.390051849055613
34,Kulishu cave,115.65,39.68,-11.591987086655868,5.59973318633822,-10.71870451154909,-13.351774812114739,237.23556198289054,-0.8732825751067779,0.369038033533914,False,7.602013449907623
35,La Garma cave,-3.6658,43.4306,-7.5347136722225905,3.5481273777071904,-7.2099324674223455,-9.451827798219764,60.711454620986515,-0.32478120480024497,0.1724214476962,False,6.051242644315542
36,La Mine cave,9.68,36.03,-5.541475675420033,6.2436892807465645,-7.177633802286778,-7.164649984181215,722.0351753151047,1.6361581268667447,-0.6547939118799001,False,8.027228165111207
37,La Vallina,-4.8067,43.41,-7.260888952084088,3.52213172549591,-6.958563818089123,-9.26804139585387,22.38076957730544,-0.3023251339949642,0.16109106654921684,False,6.029034424076785
