,site_name,lon,lat,z_pred,ss_pred,z_obs,drift_at_obs,dist_nn,residual,PES,|PES| > critical_val,ci
0,Abaco Island cave,-77.16,26.23,-0.9672218167086608,7.005693286710249,-1.9404458510906082,-2.5606263557411606,790.4064636061545,0.9732240343819474,-0.36769461174888274,False,8.267985230467852
1,Andriamaniloke,43.7569,-24.051,-3.9956991232357724,4.556798939143627,-2.913761633872582,-4.169153629707585,0.5179543279925829,-1.0819374893631903,0.5068415801171758,False,6.668130113926507
2,B7 cave,7.0,49.0,-14.138789221031438,5.943764791817283,-10.407497814517285,-11.33477734464345,257.3749081169504,-3.7312914065141527,1.5304824727316386,False,7.615614285052819
3,Ball Gown cave,125.0,-17.03,-7.13028096184721,5.4897564377938055,-2.4144795122153178,-5.430136857440996,431.8048314824116,-4.715801449631892,2.01269966021707,False,7.318981857609993
4,Bittoo cave,77.7764,30.7903,-7.944486114280753,9.445191225807232,-7.15286386559751,-8.892899328757899,1513.2152654258205,-0.7916222486832432,0.2575802818796427,False,9.600182957723968
5,Botuverá cave,-49.1569,-27.2247,-7.471071466834212,5.6246980817874075,-4.971822445647831,-6.031284282818465,302.6232291967474,-2.4992490211863814,1.053804194425892,False,7.408388350110989
6,Bukit Assam cave,114.8,4.03,-7.805194147838985,3.797346739485692,-7.508197276779746,-8.872025598824218,8.261762994230782,-0.296996871059239,0.15240939759938113,False,6.087153586580004
7,Buraca Gloriosa,-8.7833,39.5333,-5.118579772881678,6.754915966912362,-4.655620270780673,-6.419334722084262,557.0244943402973,-0.4629595021010049,0.1781283425775689,False,8.118655393206945
8,Cango cave,22.2147,-33.3925,-4.721650567647393,8.743007623834636,-6.179190569151729,-5.237210543376361,1245.2559924176435,1.4575400015043352,-0.492935452282794,False,9.236438882000623
9,Cave C126,113.9,-22.1,-3.5845919546705796,8.462476370571633,-6.842295674375762,-4.414905934598755,1291.781008124078,3.257703719705183,-1.1198577224783808,False,9.087048935160011
10,Cave Without a Name,-98.6208,29.885200000000005,-8.194595400500164,6.64141768120348,-4.048083116427802,-8.153270464061983,760.5050497606256,-4.1465122840723625,1.6089870893685276,False,8.050160316639655
11,Cave of the Bells,-110.75,31.75,-10.87554867517461,5.646099980170918,-12.289794128151414,-10.27681526132358,533.8785762011134,1.4142454529768038,-0.5951829874289084,False,7.422469375889799
12,Cold Air cave,29.1833,-24.0,-6.498276543763143,7.866277394294003,-4.902992012625305,-6.339403641938673,1245.2559924176435,-1.595284531137838,0.5687920602143652,False,8.761102490173874
13,Cueva del Diamante,-77.5,-5.73,-6.050760836751771,4.75473419684465,-7.501452470968843,-3.351172654007417,31.369435063083298,1.4506916342170717,-0.6652915152836192,False,6.811413630900001
14,El Condor cave,-77.3,-5.93,-6.233276837049042,4.758028824267585,-7.171030394160255,-3.31403598142339,31.369435063083298,0.937753557111213,-0.42990766248976475,False,6.813773088139378
15,Fort Stanton cave,-105.4433,33.5067,-12.75117933960478,6.168294049445482,-11.873964511759725,-12.595131464995996,533.8785762011134,-0.8772148278450551,0.35320222411580954,False,7.75812310591426
16,Gempa bumi cave,120.0,-5.0,-4.5860674112786715,5.352934984773452,-6.420945951033332,-5.33713795715609,395.3784849177935,1.8348785397546603,-0.7930696624865254,False,7.227200721685738
17,Gunung-buda cave (snail shell cave),114.48,4.02,-8.038633041131973,3.9071365038124366,-6.773844905442445,-8.82123754798943,35.512025867917906,-1.2647881356895283,0.6398651996367256,False,6.174523167878422
18,Haozhu cave,109.98330000000001,30.683299999999996,-9.828289054983316,4.014571458874739,-9.508585981581382,-8.932787332292936,117.46176400876656,-0.31970307340193393,0.15956117102110445,False,6.258838258804818
19,Hollywood cave,171.47,-41.95,-6.139299424225854,4.538924977825308,-5.120126593642794,-8.345051301794026,128.58921406274007,-1.0191728305830594,0.47837815041160325,False,6.6550394545366345
