,site_name,lon,lat,z_pred,ss_pred,z_obs,drift_at_obs,ele (SISAL),ele (iTraCE),dist_nn,residual,PES,|PES| > critical_val,ci
0,Abaco Island cave,-77.16,26.23,0.6179452212429837,6.416644056732146,-1.9800266537932216,-3.308032053799316,-45.0,21.872618806852554,790.4064636061545,2.5979718750362055,-1.0256058061100437,False,8.475948953508158
1,Ball Gown cave,125.0,-17.03,-5.091910518252834,7.325250873619025,-0.18484315353646252,-8.033947607379847,100.0,290.03784936587857,1066.9519205315203,-4.907067364716371,1.8130541222895407,False,9.056191752629472
2,Bittoo cave,77.7764,30.7903,-7.890734135044906,2.5512825327904483,-7.42122829322404,-9.870058563680777,3000.0,2043.7312820551062,415.78989200577837,-0.4695058418208662,0.2939420525760521,False,5.344580661665473
3,Botuverá cave,-49.1569,-27.2247,-5.039093305390315,3.0854208288537666,-3.649473613014038,-6.113601551667523,180.0,478.2228223531518,302.6232291967474,-1.389619692376277,0.7911134285447012,False,5.877485435225727
4,Buraca Gloriosa,-8.7833,39.5333,-4.585363940688386,4.772271201913076,-5.829209859805428,-7.663672227010818,420.0,246.88583293010532,557.0244943402973,1.2438459191170423,-0.569382385475706,False,7.309655613579284
5,Cave Without a Name,-98.6208,29.8852,-5.00629186679019,5.583361430344138,-4.621373449506389,-8.573325291796502,377.0,331.10748178842385,760.5050497606261,-0.38491841728380116,0.16289990097650955,False,7.906462749887026
6,Cave of the Bells,-110.75,31.75,-7.872096071434347,4.354046730811317,-9.436457958411637,-10.427762993796744,1639.0,1177.3698238805603,533.8785762011134,1.5643618869772897,-0.7497054770026318,False,6.982016985931596
7,Chauvet cave,4.26,44.23,-7.349819680808638,2.5522122038350696,-8.237005967177724,-9.858197807500114,240.0,514.9785231595869,305.11447180307584,0.8871862863690865,-0.5553367695551805,False,5.345554338485776
8,Cold Air cave,29.1833,-24.0,-5.918475921963195,9.35515721032786,-3.8119813543712553,-7.942219446758544,1420.0,1041.9046237057712,1479.1148888216565,-2.1064945675919393,0.688707477750864,False,10.234341469069209
9,Cueva Victoria,-0.8215,37.6322,-5.53186622475413,4.0994123774751134,-5.059010323309735,-7.917989175390758,75.0,411.9790184844727,619.5263625287421,-0.4728559014443947,0.2335436210388731,False,6.774779459501106
10,Cueva del Diamante,-77.5,-5.73,-5.437072561425553,0.8659832198660714,-5.9319716435302325,-5.108244064080809,960.0,664.3683891678862,31.369435063083298,0.4948990821046797,-0.5318166254134247,False,3.113788400558644
11,Dim cave,32.1056,36.534,-9.006106107652654,2.9385174763573385,-6.736029412058144,-8.101206378349618,232.0,585.5997271051106,431.40804071102957,-2.2700766955945095,1.3242695445809038,False,5.735859398670966
12,Dongge cave,108.08329999999998,25.2833,-8.048681057853148,0.8300848416452917,-6.97738334433468,-9.29543828898169,680.0,793.3251986616486,28.87317596313951,-1.0712977135184678,1.1758419124618027,False,3.048565985644165
13,El Condor cave,-77.3,-5.93,-5.7455458703010605,0.8659436674129958,-5.524758803793816,-5.058234944325172,860.0,648.2567159800665,31.369435063083298,-0.22078706650724467,0.23726233980066289,False,3.1137172909960857
14,Fort Stanton cave,-105.4433,33.5067,-8.937673667689763,3.816487745003787,-7.879302077654729,-10.99651377870352,1864.0,1603.4271531087672,533.8785762011134,-1.0583715900350343,0.5417591280529879,False,6.536816506788232
15,Furong cave,107.9036,29.228899999999996,-8.485815958200714,0.9948776761536395,-7.366919084588833,-10.29944585380301,480.0,784.0894537386051,62.70871141155921,-1.118896873611881,1.121773606076658,False,3.3374840668482393
16,Gempa bumi cave,120.0,-5.0,-3.1575353892807176,3.001004131057775,-5.065490048750121,-6.410363721117847,140.0,57.121439394393356,395.3784849177935,1.9079546594694032,-1.1013738310555203,False,5.796524218276951
17,Gunung-buda cave (snail shell cave),114.48,4.02,-7.39214650511435,0.9374602047891516,-6.898351083841817,-9.084061141155987,150.0,314.91256358252883,41.69977499998137,-0.49379542127253284,0.5100005425629356,False,3.2397446292502403
18,Haozhu cave,109.9833,30.6833,-8.496975624719433,1.2133042307126864,-9.583744110986189,-10.529249810582803,1017.0,777.0665765557168,117.46176400876678,1.086768486266756,-0.9866251467948386,False,3.685693477457509
19,Hollywood cave,171.47,-41.95,-5.899944604691913,1.8044047024209822,-4.489560066790671,-8.306243734960008,100.0,241.84992991875745,128.58921406273674,-1.4103845379012423,1.0499547025463416,False,4.494706450532915
20,Hulu cave,119.17,32.5,-8.344367408986068,5.648932457603493,-8.430307325418088,-10.332711427774743,86.0,108.87182650853462,800.7416809178773,0.08593991643201981,-0.03615861074317236,False,7.952754006352386
21,Hölloch im Mahdtal,10.1506,47.3781,-8.76900427622891,3.3441716080021138,-11.49299338771391,-11.365169227323587,1240.0,895.4926409345499,346.3432895827455,2.7239891114849986,-1.4895705917763804,False,6.118974393633682
22,Jaraguá cave,-56.583,-21.083,-5.087548916161028,6.426523551217397,-5.373027011452349,-6.443538691475162,570.0,322.41732529130604,891.6297858599766,0.28547809529132095,-0.11261201740233077,False,8.482471512871054
23,Jeita cave,35.65,33.95,-5.866161881318079,1.1189713436914894,-4.651615824566193,-6.776862336490295,100.0,440.2209749456321,71.6017072338472,-1.2145460567518862,1.1481655342098995,False,3.5395156783860093
24,Kailash cave,81.9915,18.8445,-2.469607873874314,3.836492966128936,-1.223568635355363,-7.0980172482492225,490.0,319.837552204287,604.7739565175804,-1.2460392385189512,0.6361573006508848,False,6.553926418872379
25,Kalakot cave,74.4258,33.2219,-5.377828728601644,3.306812062787176,-9.029471490338636,-9.402798628166192,826.0,1938.2551052893577,415.78989200577837,3.6516427617369924,-2.0080916373522726,False,6.084699216081146
26,Karaca cave,39.4029,40.5443,-11.362159696351736,5.235582810626412,-14.498566426711932,-10.49887471133395,1536.0,1267.105497438907,634.2843089556081,3.1364067303601963,-1.3707235065072103,False,7.6562635502819765
27,Kesang cave,81.75,42.87,-12.01509749199782,9.00725775851609,-5.236448893909142,-13.617655069878865,2000.0,1755.2377981763957,1248.7253824177287,-6.778648598088678,2.258639013083331,False,10.042241322895034
28,La Mine cave,9.68,36.03,-4.263573425254356,5.356569231128518,-6.494076928564596,-7.606002674976121,975.0,261.22017331960615,856.4254274621903,2.2305035033102394,-0.9637392539222145,False,7.74422066368972
29,Lake Shasta cave,-122.30399999999999,40.804,-10.054590007960979,3.713284662297915,-12.124575750124313,-11.07116603593265,725.0,838.1571340011274,342.3711525772592,2.0699857421633343,-1.0742076285642175,False,6.447828535868903
30,Lapa sem fim cave,-44.6281,-16.1503,-4.128198844481284,3.5899667822059755,-4.5367019904310055,-5.754152182652728,341.0,786.0723921452492,552.5911834969799,0.40850314594972126,-0.21560071183990928,False,6.339858619848027
31,Liang Luar,120.43,-8.53,-3.7571333132814515,2.9475873300498594,-3.309818009525202,-6.806787470929217,550.0,73.53617844457301,395.3784849177935,-0.4473153037562496,0.2605436039340666,False,5.7447045603397715
32,"Lianhua cave, Shanxi",113.71669999999999,38.1667,-10.697976416707423,5.945549953843836,-11.308447601486751,-12.618302068232357,1200.0,854.5824631691655,782.1277675752224,0.6104711847793283,-0.2503624271499081,False,8.158876780935525
33,Mawmluh cave,91.8817,25.2622,-5.667513471131604,5.505729384012229,-4.714520620592503,-7.646451011435755,1160.0,398.47630172896305,1095.4934508101321,-0.9529928505391014,0.40614602948074097,False,7.85130391489229
34,McLean's cave,-120.42,38.07,-10.889873573320186,0.6351102034000653,-10.711934986342214,-11.4161320704869,300.0,1149.036118697435,3.9874656597285805,-0.17793858697797127,0.22327782477154434,False,2.6666063138626925
35,Mitoho,43.7533,-24.0477,-2.537133322282509,9.519281234377676,-4.239791502132938,-5.855771759090462,20.0,202.280602795417,1479.1148888216565,1.7026581798504292,-0.5518555191598407,False,10.323725225459919
36,Mizpe Shelagim,35.81,33.32,-4.940316628715794,1.013654234964744,-5.326513057450597,-6.5527001023396565,2180.0,449.86484296153554,71.6017072338472,0.3861964287348032,-0.3835865173957356,False,3.368831410032638
37,Moaning cave,-120.4655,38.0717,-10.7933209473664,0.6331944811941218,-10.735148446099345,-11.373546479744329,520.0,1133.0682993071923,3.9874656597285805,-0.05817250126705531,0.0731053527885223,False,2.6625815517212206
38,Moomi cave,54.2,12.55,-1.7167632329644438,11.348721219126848,-0.6869342822625154,-4.61008139255498,400.0,11.31050091839085,2564.7425237730695,-1.0298289507019285,0.3056973209870849,False,11.272177579713542
39,Nettlebed cave,172.67999999999998,-41.23,-4.3089424721736,0.9918357789802528,-6.773698064449339,-8.296688203238165,390.0,179.33963853047885,61.27911109014394,2.464755592275739,-2.4748790267972436,False,3.332377883555314
40,Ostolo cave,-0.2678,43.1878,-6.619490791167075,2.0477408916075945,-5.237343278998694,-9.333261837624791,248.0,480.4367406487076,262.88512829976605,-1.3821475121683813,0.9658660365850462,False,4.788195338598585
41,Paixão cave,-41.0184,-12.6182,-2.1781750330354983,4.872817909761974,-1.6736477977937283,-3.815793717002373,598.0,554.7438366542299,552.5911834969799,-0.50452723524177,0.2285569983506657,False,7.386257593171865
42,Pindal cave,-4.53,43.4,-5.576983088618599,2.8961559639322654,-5.5348160043640116,-8.68403755811563,24.0,442.6231626275618,345.71960837197975,-0.04216708425458737,0.024777791766973378,False,5.694365389168271
43,Ruakuri cave,175.08,-36.27,-4.1400251328903375,5.346578142268268,-3.4051746181558884,-7.313288167633828,80.0,57.84250375214743,542.0191575195317,-0.7348505147344491,0.31780523254423354,False,7.736995021088069
44,Sanbao cave,110.4333,31.667,-9.780998127620464,1.4711217496570623,-9.259133552459195,-10.951143793338428,1900.0,760.1914183427292,117.46176400876678,-0.5218645751612687,0.43026251279067734,False,4.058435668703426
45,Sant'Angelo cave,17.5,40.7,-6.994487679885628,4.396060390836383,-5.768945225499043,-8.215221568512497,148.0,397.6604480914517,620.2816134195405,-1.2255424543865852,0.5845161773692125,False,7.015622028023082
46,Santana cave,-48.7267,-24.5308,-4.479819992313258,2.502569803065678,-5.7064665889625985,-6.509754511597597,250.0,633.433502478517,302.6232291967474,1.2266465966493403,-0.7754010026870112,False,5.293311573128927
47,Santo Tomas cave,-83.84,22.55,-1.0331871047480592,5.873526748208436,1.2775339120953504,-3.1681634847965396,170.0,22.207284809726506,790.4064636061545,-2.3107210168434094,0.9534502544534521,False,8.109308706545038
48,Savi cave,13.8833,45.6167,-10.450918358068655,3.1224004617810626,-8.028310079680306,-10.905264176991569,350.0,537.7566239077574,346.3432895827455,-2.422608278388349,1.371004548678771,False,5.912602182289967
49,Secret cave,114.8503,4.0848,-7.064947351554723,0.9321628661494903,-7.376679932656103,-9.148024998470232,250.0,324.52578671991046,41.69977499998137,0.3117325811013796,-0.3228763955483583,False,3.230578193399221
50,Sofular cave,31.9333,41.4167,-9.824993472858013,4.0113113982681945,-14.19610577367522,-9.3444640964075,440.0,615.6288310925411,543.1353656193517,4.371112300817206,-2.1824724769861388,False,6.701585254892275
51,Soreq cave,35.0226,31.755800000000004,-4.445985840816649,2.2050731461199824,-5.672544166976536,-6.431716022697643,400.0,419.4453632048188,188.94298135273533,1.2265583261598874,-0.8259936426427593,False,4.9687352670448695
52,Timta cave,82.0336,29.8381,-10.407091802986228,4.043974221512791,-10.545038482266637,-13.338946578680702,1900.0,3234.1682900927663,422.11536888456646,0.13794667928040916,-0.06859730615948313,False,6.728814368349825
53,Tonnel’naya cave,67.23,38.4,-11.758256255957908,7.225196628921031,-7.844873736204477,-12.783065086010259,3226.0,1280.442554633391,866.9670355984402,-3.9133825197534318,1.4558863206254558,False,8.994130681074378
54,Valmiki cave ,77.8167,15.15,-1.7829514437380913,4.809753751805421,-0.36436356161713473,-6.877098838149189,420.0,410.27497574619525,604.7739565175804,-1.4185878821209565,0.6468369559808005,False,7.338305352582522
55,Villars cave,0.78,45.43,-6.705904079753444,2.3426773366816596,-6.681954987361678,-9.463769182501634,175.0,378.41760345764976,262.88512829976605,-0.023949092391766236,0.0156470626462321,False,5.121422394233313
56,Wet Neck cave,172.48,-40.7,-5.702071250290977,1.0877042444271825,-3.854748329506208,-7.982712679064924,90.0,144.23459701852175,61.27911109014394,-1.8473229207847695,1.7712807678498492,False,3.48971346929014
57,Xiaobailong cave,103.36,24.2,-10.829878593337234,2.148648644243641,-12.026316231740168,-10.985218508806303,1500.0,1570.7490673853888,215.13531276950437,1.1964376384029336,-0.8162202497823943,False,4.904752078933479
58,Yamen cave,107.9,25.4833,-7.3493366141823415,0.7888209214635978,-7.981169272487106,-9.349804796961857,570.0,836.0116888250578,28.87317596313951,0.6318326583047646,-0.7113983601212619,False,2.9718273032734026
59,Yangzi cave,107.783,29.783,-8.370176483330985,1.0068807303355938,-8.429319248443534,-10.648342989846288,400.0,839.1904844308499,62.70871141155921,0.0591427651125489,-0.05894033644937096,False,3.357556834066919
60,Zhuliuping cave,104.09499999999998,26.0167,-10.785709588530246,1.771035556678925,-12.134780323395296,-11.138470381381051,1217.0,1525.8289814633522,215.13531276950437,1.34907073486505,-1.013727156975395,False,4.45295184215672
