,site_name,lon,lat,z_pred,ss_pred,z_obs,drift_at_obs,dist_nn,residual,PES,|PES| > critical_val,ci
0,Abaco Island cave,-77.16,26.23,-0.9525944994741867,7.010762593348762,-2.351105179185083,-2.6118341768625357,790.4064636061545,1.3985106797108964,-0.5281814649859781,False,8.213061587816814
1,Andriamaniloke,43.7569,-24.051,-4.346455327491234,4.560148786292365,-2.6300159389753333,-4.121633393734184,0.5179543279925829,-1.7164393885159006,0.8037832758183395,False,6.623872366273213
2,Ball Gown cave,125.0,-17.03,-6.844043023944943,5.635932660521354,-1.5346260719485372,-5.414384557318662,431.8048314824116,-5.309416951996406,2.236474415742206,False,7.363857009446192
3,Bittoo cave,77.7764,30.7903,-7.804425514223052,9.47706878240456,-7.53253760623636,-9.11855640088184,1513.2152654258205,-0.2718879079866916,0.08831874248195476,False,9.549034566605973
4,Botuverá cave,-49.1569,-27.2247,-7.3285039805812655,5.6145315074729085,-4.056245044628383,-5.962258192947457,302.6232291967474,-3.272258935952882,1.3809911667072972,False,7.349862438112571
5,Bukit Assam cave,114.8,4.03,-8.387162319483231,4.612009067094337,-7.682753571643096,-8.883410943306654,35.512025867917906,-0.7044087478401346,0.32800439615509525,False,6.6614308707155505
6,Buraca Gloriosa,-8.7833,39.5333,-5.045919414330315,7.185167498076462,-3.7613194986305984,-6.572339327096908,557.0244943402973,-1.284599915699717,0.47923600684719875,False,8.314591126716353
7,Cave C126,113.90000000000002,-22.100000000000005,-3.0467922889468726,8.603720923409867,-6.373625386075294,-4.350830956163051,1291.7810081240757,3.3268330971284215,-1.1341953332339354,False,9.09841215955485
8,Cave Without a Name,-98.6208,29.8852,-7.586052685046101,6.641367802382258,-4.527326334876274,-8.039327364386994,760.5050497606261,-3.0587263501698274,1.1868937919344444,False,7.993762028178984
9,Cave of the Bells,-110.75,31.75,-10.385115568956538,5.64228707362906,-12.4246142497542,-10.570016024938603,533.8785762011134,2.039498680797662,-0.8586097964497582,False,7.368007148401692
10,Cold Air cave,29.1833,-24.0,-6.370834051144349,8.882310508904403,-4.31255009459062,-6.575484306599898,1479.1148888216565,-2.058283956553729,0.6906250285320248,False,9.244542528967314
11,Cueva del Diamante,-77.5,-5.73,-5.921462826033217,4.728793680598609,-7.7150612293490894,-4.407789993609651,31.369435063083298,1.7935984033158725,-0.8248026082869785,False,6.7452434999659205
12,El Condor cave,-77.3,-5.93,-6.520769341362659,4.728002152602615,-6.696696880008631,-4.337003923429369,31.369435063083298,0.175927538645972,-0.08090865726979551,False,6.744678950858027
13,Fort Stanton cave,-105.4433,33.5067,-13.180512858554378,6.190759366446265,-9.892801359552193,-12.691169774055663,533.8785762011134,-3.287711499002185,1.3213617742610557,False,7.717815830419608
14,Gempa bumi cave,120.0,-5.0,-3.9216804769834566,6.963279461474007,-6.510942003321475,-5.075668109860566,1158.3659220669783,2.589261526338018,-0.9812259054980763,False,8.185201247864189
15,Gunung-buda cave (snail shell cave),114.48,4.02,-8.411942353345086,4.621541355950532,-7.502276079788487,-8.829774913007354,35.512025867917906,-0.9096662735565992,0.4231444718503929,False,6.6683113761283375
16,Haozhu cave,109.9833,30.6833,-9.802035605589268,4.013742907621193,-9.587840481081571,-9.95429850678391,117.46176400876678,-0.21419512450769673,0.10691405598869183,False,6.214371679565738
17,Hulu cave,119.17,32.5,-10.408925406901679,7.369477139160202,-7.840413529604705,-10.203422915091227,828.0634577586494,-2.5685118772969737,0.9461570731231734,False,8.4205563621659
18,Jaraguá cave,-56.58299999999999,-21.083,-5.754169204680646,7.018168507439624,-5.4433587592563075,-5.152146021552484,891.6297858599761,-0.31081044542433833,0.11732314869926733,False,8.217398432262963
19,Jeita cave,35.65,33.95,-5.395976874220485,4.380382233182096,-4.91985843049315,-5.641395381344804,210.83400198882887,-0.47611844372733536,0.22748826631481633,False,6.491999138512777
20,Jerusalem west cave,35.15,31.7833,-4.076956928291416,3.6686559943186636,-3.95612251768398,-5.25558578044782,12.425870552915981,-0.12083441060743638,0.06308660156699984,False,5.941224240263206
21,Jiuxian cave,109.1,33.5667,-11.252711853094668,5.022983977079368,-12.13949539692544,-11.617729780431915,245.38036021621315,0.8867835438307718,-0.3956732851979745,False,6.951897265495596
22,Juxtlahuaca cave,-99.2,17.4,-2.87212906038718,8.548103942906987,-8.116704079775309,-4.49858698759318,1389.536138899971,5.244575019388129,-1.7938057210866734,False,9.068957075781743
23,KNI-51,128.62,-15.3,-3.4793831358910086,6.02020063310603,-7.093851677951989,-5.375778490026038,431.8048314824116,3.61446854206098,-1.4731228524630986,False,7.610758329576594
24,Karaca cave,39.4029,40.5443,-11.718707756607994,6.971064492010922,-12.269364983924296,-9.651434620514097,634.2843089556081,0.550657227316302,-0.20856037227920726,False,8.189775546616957
25,Lake Shasta cave,-122.304,40.804,-11.148577606508887,6.080061586338353,-11.876288221294203,-10.181488335011508,344.357137242901,0.7277106147853161,-0.2951241305546775,False,7.648502946091396
26,Lapa sem fim cave,-44.6281,-16.1503,-4.0877774531477735,5.610660847751016,-5.511177466993638,-3.4162785193267258,552.5911834969799,1.423400013845865,-0.6009245640126942,False,7.3473285026177475
27,Larga cave,-66.8,18.32,-1.283099363240077,9.058719742194793,0.3702583859361864,-1.6343936897096683,1380.8809779355013,-1.6533577491762632,0.5493301341114409,False,9.335892901604192
28,Ma'ale Efrayim cave,35.3952,32.066,-4.587719584559242,3.7032953954481234,-2.8739952536734563,-5.309913546447137,39.03396889286647,-1.7137243308857855,0.8905263719826879,False,5.969206822804502
29,Mairs cave,138.83,-32.16,-6.715422863787402,9.680903240061756,-6.529760170333096,-7.159361030770805,2140.5644372408224,-0.1856626934543062,0.0596714658926556,False,9.651179406440248
30,Mawmluh cave,91.8817,25.2622,-6.9873682068404275,7.766522174349143,-2.362056075881128,-6.3065286267871095,1164.9010435908565,-4.6253121309592995,1.6596929621117147,False,8.644417669822
31,McLean's cave,-120.42,38.07,-12.743465038865978,5.213514509179118,-11.849586665832195,-10.994305891844903,344.357137242901,-0.8938783730337825,0.3914832063037108,False,7.082518904190602
32,Mitoho,43.7533,-24.0477,-2.7570171045902465,4.559861705768316,-4.864390005806257,-4.12171035897147,0.5179543279925829,2.1073729012160105,-0.9868827445420124,False,6.6236638626948885
33,Moomi cave,54.2,12.55,-0.7400946386522643,11.055302471834931,-0.17882985271151028,-1.4250116026872839,2891.7975886288827,-0.561264785940754,0.16880390167519976,False,10.313540154313314
34,Nettlebed cave,172.68,-41.23,-5.123846775455195,4.0857795958836665,-6.460048512914227,-8.279873370270124,61.27911109014511,1.3362017374590325,-0.6610503880420464,False,6.269889930595955
35,Paixão cave,-41.0184,-12.6182,-3.0811265770621614,5.6782819023991635,-3.681957375009748,-2.4807615468338238,552.5911834969799,0.6008307979475864,-0.25214113952277317,False,7.39147179320532
36,Paraiso cave,-55.45,-4.0667,-2.7973671096340817,8.670817711677875,-2.6526401210861366,-2.4366855776810916,1789.676118266275,-0.1447269885479452,0.04914954451684593,False,9.133820597974072
37,Pindal cave,-4.53,43.4,-7.579831413707618,6.575741345071377,-5.0659478140779965,-7.91519655747142,557.0244943402973,-2.5138835996296214,0.9803311525098746,False,7.954168927706033
38,Pinnacle cave,-115.5,35.97,-12.19770500363656,5.4194808611899665,-14.49801567030069,-11.621181968688012,495.19905039183885,2.3003106666641298,-0.988115358809398,False,7.221065636777585
39,Rainha cave,-37.6432,-5.5782,-3.0826967811217574,7.434396478184386,-1.8329467390316267,-2.574738278442948,865.9907214226611,-1.2497500420901306,0.45835323495117325,False,8.457564301225908
40,Ruakuri cave,175.08,-36.27,-5.425520479523317,6.395046629549939,-4.75198099378697,-7.606722475096892,535.0038415997075,-0.673539485736347,0.2663429485185918,False,7.844121407917319
41,Sanbao cave,110.4333,31.667,-10.106742648859429,4.03458717612056,-10.507368800695502,-10.406740085151965,117.46176400876678,0.4006261518360734,-0.19945261910458845,False,6.230487097924963
42,Sant'Angelo cave,17.5,40.7,-10.552186803964384,7.853022026312521,-6.363516719750891,-7.609200029050949,1027.6524511591685,-4.188670084213493,1.4947127779424807,False,8.692423092974138
43,Santana cave,-48.7267,-24.5308,-4.951273526786505,5.0859091084638255,-7.726626444602516,-5.444895782599297,302.6232291967474,2.7753529178160115,-1.2306481954516422,False,6.995306475684808
44,Santo Tomas cave,-83.84,22.55,-2.035898353416493,6.934843211887215,-0.6010400081878515,-2.3974107760926335,790.4064636061545,-1.4348583452286414,0.5448672497522102,False,8.168471017320742
45,Sieben Hengste cave,7.81,46.75,-8.981847651139633,8.239751967440977,-15.527675158928808,-10.505403872651716,1027.6524511591685,6.545827507789175,-2.2803813864499483,False,8.903884515680309
46,Sofular cave,31.9333,41.4167,-8.548335306892952,6.443411324750312,-14.876681792483653,-8.151482860680854,634.2843089556081,6.328346485590702,-2.4930576499053205,False,7.873727442717797
47,Soreq cave,35.0226,31.7558,-3.927789309137005,3.709032917357498,-4.162517485823643,-5.198553019842498,12.425870552915981,0.2347281766866378,-0.12188068360935721,False,5.973829084363497
48,Twin Forks cave,172.48,-40.63,-5.50887806459204,3.8008933598194523,-4.268886228216559,-8.08739898939762,7.783644865119334,-1.2399918363754816,0.6360276314761676,False,6.047352600822536
49,Wet Neck cave,172.48,-40.7,-5.5110185378334915,3.784216855690515,-4.313969610802076,-8.093844436695152,7.783644865119334,-1.1970489270314157,0.6153523929471613,False,6.034071570104568
50,Xiaobailong cave,103.36,24.2,-7.033482298017755,6.447993507056264,-11.732755470956334,-8.582135860205229,759.7115709872944,4.69927317293858,-1.8506248773243477,False,7.876526615448802
51,Yangzi cave,107.783,29.783,-10.169252600791026,4.484398380705888,-8.801805770247768,-9.812777443991008,233.88410084243444,-1.3674468305432583,0.6457409903589304,False,6.568626115825964
