,site_name,lon,lat,z_pred,ss_pred,z_obs,drift_at_obs,ele (SISAL),ele (iTraCE),dist_nn,residual,PES,|PES| > critical_val,ci
0,Abaco Island cave,-77.16,26.23,-0.46323026172250825,6.799345738255689,-0.9486479903095869,-3.104646628465346,-45.0,24.650531011090585,790.4064636061545,0.48541772858707866,-0.1861581572115265,False,8.68852107392877
1,Abissal cave,-37.6659,-5.5642,-3.034106046565072,1.3157951621362676,-3.2181153931576545,-4.818103910158524,100.0,323.8919997037492,2.9554293068707898,0.18400934659258228,-0.1604152825376134,False,3.82213866474632
2,Andriamaniloke,43.7569,-24.051,-3.6487060620256795,1.314088210160346,-2.0696988931128053,-5.461037662370064,20.0,207.85000295351892,0.5179543279925829,-1.5790071689128742,1.377437309974152,False,3.819658672178005
3,B7 cave,7.0,49.0,-15.850535797369618,4.4392989841489205,-11.030548249359336,-11.892688572556807,185.0,583.061881515785,257.3749081169504,-4.819987548010282,2.287645461553385,False,7.020523445483327
4,Ball Gown cave,125.0,-17.03,-7.6269493852896515,4.099764584531526,-2.3777395349391326,-8.545918116589457,100.0,304.0350535853243,431.8048314824116,-5.249209850350519,2.5924743930511456,False,6.746705544141146
5,Bittoo cave,77.7764,30.7903,-5.241979874934654,11.543524886129838,-6.554684051693698,-7.858469636352865,3000.0,2055.863711633612,1513.2152654258205,1.312704176759044,-0.38636488222213644,False,11.320914698906128
6,Botuverá cave,-49.1569,-27.2247,-6.075342859656718,4.060805191819966,-4.462836382951139,-6.426871796811691,180.0,488.61963732743976,302.6232291967474,-1.6125064767055797,0.8001941827840283,False,6.714572603400445
7,Bukit Assam cave,114.8,4.03,-7.4923811138444245,1.0952014325148987,-7.478623146629684,-8.99569503699342,150.0,339.93792499471766,8.261762994230782,-0.013757967214740319,0.013146412906187744,False,3.487059018594113
8,Cango cave,22.2147,-33.3925,-2.499961716604046,10.741392047048251,-6.1037860403368995,-5.781122164687939,687.0,720.3373725144434,1245.2559924176435,3.6038243237328533,-1.0995964476890494,False,10.92050143675294
9,Cave C126,113.9,-22.1,-4.077822492201285,10.041801000124048,-7.0438988215572405,-7.620685376309961,100.0,74.73546247343364,1291.781008124078,2.966076329355955,-0.936001441758569,False,10.558886014982779
10,Cave of the Bells,-110.75,31.75,-10.671034812589758,4.6883081933662965,-12.154212072091639,-10.475338570223613,1639.0,1184.9773277423624,533.8785762011134,1.4831772595018808,-0.6849911833333416,False,7.214734815114524
11,Cold Air cave,29.1833,-24.0,-7.712738006440735,8.96599580284157,-3.788709962114467,-7.792635590535234,1420.0,1054.9240523180476,1245.2559924176435,-3.924028044326268,1.31048736154851,False,9.9772662523104
12,Cueva del Diamante,-77.5,-5.73,-6.684342009178009,1.5608070048780724,-7.282341871144513,-4.18469155955901,960.0,674.268990340019,31.369435063083298,0.5979998619665041,-0.47865927755809207,False,4.162812970297169
13,El Condor cave,-77.3,-5.93,-7.439701489552292,1.531344672131043,-6.469726164964034,-4.126646715488113,860.0,658.3884867210687,31.369435063083298,-0.9699753245882583,0.783834203262852,False,4.123336441054291
14,Fort Stanton cave,-105.4433,33.5067,-14.553630699199925,6.341416035628301,-10.927788913396387,-11.975883841635897,1864.0,1609.0642104700387,533.8785762011134,-3.625841785803537,1.4398449463327676,False,8.390839607400101
15,Gempa bumi cave,120.0,-5.0,-3.9713159131789912,3.9067562015232005,-5.976136087055949,-6.257739920225714,140.0,61.23493755760404,395.3784849177935,2.0048201738769573,-1.014301969416116,False,6.585980665329491
