,d18Op,lat,lon
0,-14.481925964355469,61.587500000000006,-165.0125
1,-14.459691047668457,61.587500000000006,-162.5125
2,-14.71812629699707,61.587500000000006,-160.00416666666666
3,-15.214383125305176,61.587500000000006,-157.5125
4,-15.471268653869629,61.587500000000006,-155.00416666666666
5,-19.618196487426758,61.587500000000006,-152.5125
6,-14.940632820129395,61.587500000000006,-150.0125
7,-15.256036758422852,63.4875,-171.8375
8,-15.042234420776367,63.212500000000006,-164.40416666666667
9,-15.29715347290039,63.420833333333334,-162.39583333333334
10,-16.332874298095703,63.47916666666667,-160.00416666666666
11,-15.598620414733887,63.47916666666667,-157.5125
12,-17.116107940673828,63.47916666666667,-155.00416666666666
13,-16.458133697509766,63.47916666666667,-152.5125
14,-18.05582046508789,63.47916666666667,-150.0125
15,-16.704620361328125,65.37916666666666,-179.99583333333334
16,-16.399524688720703,65.47083333333333,-177.49583333333334
17,-16.722412109375,65.37916666666666,-175.0125
18,-16.419429779052734,65.37916666666666,-172.50416666666666
19,-16.20693016052246,65.60416666666667,-170.5875
20,-16.227689743041992,65.4125,-167.45416666666668
21,-16.136486053466797,65.37916666666666,-165.0125
22,-16.377290725708008,65.37916666666666,-162.5125
23,-16.995426177978516,65.37916666666666,-160.00416666666666
24,-16.279924392700195,65.37916666666666,-157.5125
25,-16.60053062438965,65.37916666666666,-155.00416666666666
26,-16.621267318725586,65.37916666666666,-152.5125
27,-17.60133934020996,65.37916666666666,-150.0125
28,-19.23004913330078,67.27083333333333,-179.99583333333334
29,-18.271018981933594,67.27083333333333,-177.5125
30,-18.065595626831055,67.27083333333333,-175.0125
31,-17.69002342224121,67.02083333333333,-172.6875
32,-16.486000061035156,67.27083333333333,-162.5125
33,-16.46535873413086,67.27083333333333,-160.00416666666666
34,-17.14113998413086,67.27083333333333,-157.5125
35,-18.741931915283203,67.27083333333333,-155.00416666666666
36,-18.78914451599121,67.27083333333333,-152.5125
37,-18.222854614257812,67.27083333333333,-150.0125
38,-16.44595718383789,68.9875,-179.99583333333334
39,-17.391536712646484,68.8875,-164.90416666666667
40,-18.19424057006836,69.1625,-162.5125
41,-18.27318000793457,69.1625,-160.00416666666666
42,-18.991710662841797,69.1625,-157.5125
43,-19.495513916015625,69.1625,-155.00416666666666
44,-19.5498046875,69.1625,-152.5125
45,-19.59657859802246,69.1625,-150.0125
46,-19.59194564819336,71.0625,-179.99583333333334
47,-16.01494598388672,71.10416666666667,-177.5875
48,-18.852005004882812,70.8125,-159.54583333333335
49,-19.207536697387695,71.00416666666666,-157.34583333333333
50,-19.569246292114258,71.04583333333333,-154.99583333333334
51,-19.767974853515625,70.87916666666666,-152.57916666666665
0,-12.193678855895996,55.6875,-162.25416666666666
1,-13.567490577697754,55.90416666666667,-160.0125
2,-12.366682052612305,56.27916666666667,-157.72916666666666
3,-12.097999572753906,55.895833333333336,-155.5625
4,-12.926228523254395,57.795833333333334,-157.5125
