,site_name,lon,lat,z_pred,ss_pred,z_obs,drift_at_obs,dist_nn,residual,PES,|PES| > critical_val,ci
0,Ball Gown cave,125.0,-17.03,-6.014176049677005,5.8237038835641695,-1.457574691390846,-5.765945407971943,431.8048314824116,-4.556601358286159,1.8881713041885742,False,7.761607578342866
1,Bittoo cave,77.7764,30.7903,-6.937227665835718,5.088912200105209,-7.7897345407625584,-8.669490789498687,415.78989200577837,0.8525068749268403,-0.37790741292507857,False,7.255452748868877
2,Botuverá cave,-49.1569,-27.2247,-6.243573451796848,5.622229328543496,-2.669355993144734,-5.87146815820675,302.6232291967474,-3.5742174586521145,1.5073936924640432,False,7.626167104334739
3,Bukit Assam cave,114.8,4.03,-7.294513821436527,3.7081336029268446,-7.255812871951275,-8.103465634136445,8.261762994232686,-0.03870094948525171,0.02009758774573623,False,6.193408499102951
4,Buraca Gloriosa,-8.7833,39.5333,-6.428648839914212,6.020032956543813,-5.107692930447342,-7.681554009314032,543.5365932927459,-1.3209559094668695,0.5383799622521553,False,7.891353047680846
5,Cave Without a Name,-98.6208,29.885200000000005,-6.299418514428238,6.30255536001585,-3.551236109703177,-7.493700137083712,760.5050497606256,-2.748182404725061,1.094680092365562,False,8.074402108777003
6,Cave of the Bells,-110.75,31.75,-9.528322550445193,5.8243715759928945,-10.55470126939997,-9.97796591698407,533.8785762011134,1.0263787189547777,-0.42528797366833104,False,7.7620525029292
7,Chan Hol cave,-87.57,20.16,-1.6113534667514045,5.157734505315654,-4.451284812313058,-2.648046402959398,447.2796244410764,2.8399313455616535,-1.2504846059202277,False,7.304349254595073
8,Chauvet cave,4.26,44.23,-9.480657412863135,4.55057963942491,-7.793878346321941,-10.508996463183061,305.11447180307584,-1.6867790665411935,0.7907238585411458,False,6.860968079523462
9,Creighton`s cave,172.47,-40.63,-4.893784278058789,3.927216099673113,-4.015439220835049,-8.047251410386956,69.00998942851429,-0.8783450572237399,0.4432234826994323,False,6.373741398216592
10,Cueva Victoria,-0.8215,37.6322,-7.157475956022916,5.590148834848347,-6.166001973692005,-7.921340300330221,541.8033551501388,-0.9914739823309109,0.41934323068277135,False,7.604378487563183
11,Cueva del Diamante,-77.5,-5.73,-5.382980347630547,3.94259675816724,-6.224635528138947,-3.3196371027248706,31.369435063083298,0.8416551805083996,-0.4238800927343461,False,6.386210350859193
12,Cueva del Tigre Perdido,-77.3081,-5.9406,-5.563248063603644,3.843703238765578,-5.788344572752931,-3.3072132156542797,1.4804737149354987,0.22509650914928692,-0.11481373232710244,False,6.305607933769996
13,Dim cave,32.1056,36.534,-9.295962397862942,4.910510858273846,-6.9744387805350625,-7.8177164649237145,431.40804071102957,-2.3215236173278795,1.0476344431978333,False,7.1271414302018
14,Dongge cave,108.0833,25.2833,-8.184074296902693,3.8738056143508084,-7.21358410478643,-7.768832893203219,28.87317596314033,-0.9704901921162632,0.49308550797812684,False,6.330251302152205
15,Dos Anas cave,-83.97,22.38,-3.0745744506496915,6.017659136969985,-0.4919943819857299,-2.8620375938593767,447.2796244410764,-2.5825800686639617,1.0527857622973416,False,7.889797034990167
16,El Capitan cave,-133.319,56.162,-9.908829322012826,10.33978338957388,-11.782949763713475,-11.342000659232204,2225.9280577971836,1.874120441700649,-0.5828298379234756,False,10.342076823197676
17,El Condor cave,-77.3,-5.93,-5.5177192027888085,3.8430995674081574,-5.879905348351069,-3.3027941231334763,1.4804737149354987,0.36218614556226036,-0.1847527941959818,False,6.3051127518928185
18,El Soplao cave,-4.3937,43.2962,-7.39876698284721,3.4113088142071573,-7.720186526223074,-9.336899075472028,15.958928653096004,0.321419543375864,-0.174025047743591,False,5.940357158441479
19,Fort Stanton cave,-105.4433,33.5067,-10.966650396130824,5.7443552367786275,-10.311891845688615,-12.222529113921384,533.8785762011134,-0.6547585504422084,0.2731873176297308,False,7.70854982328696
20,Furong cave,107.9036,29.2289,-8.765632886630563,3.6421411010006643,-8.05176284779202,-9.133423282692283,62.70871141155851,-0.713870038838543,0.3740595710822909,False,6.138050010312063
21,Gempa bumi cave,120.0,-5.0,-4.175603146198451,5.330468703199749,-5.311545949803485,-5.366984150534345,395.3784849177935,1.135942803605034,-0.4920098140322163,False,7.4256544910129945
22,Gunung-buda cave (snail shell cave),114.47999999999999,4.02,-7.266198447016365,3.82337169156028,-7.195160249182573,-8.0427835786225,35.51202586791931,-0.07103819783379262,0.03633027415643861,False,6.28890883634791
23,Haozhu cave,109.9833,30.6833,-8.588045957606294,3.7053555625611034,-9.157291806446466,-9.564624323017956,117.46176400876678,0.5692458488401719,-0.29572288052604295,False,6.1910880915406015
24,Hollywood cave,171.47,-41.95,-5.178441388515929,3.794084831364462,-3.956342493695786,-8.456721330698942,17.653035240796594,-1.2220988948201432,0.6274120173681222,False,6.2647761501486485
25,Hulu cave,119.17,32.5,-8.291019262087852,5.525877358407308,-7.8043702702980555,-10.089883297623585,459.3377314185644,-0.4866489917897967,0.2070213836910552,False,7.560537295732375
26,Hölloch im Mahdtal,10.1506,47.3781,-9.525888657576381,4.905105590657871,-15.345619050889308,-12.13624539371849,346.3432895827455,5.819730393312927,-2.6277175732644587,False,7.123217733145074
27,Jaraguá cave,-56.583,-21.083,-5.390545691178782,7.2092809448642265,-5.652863928034776,-5.482564109218675,891.6297858599766,0.262318236855994,-0.0976972882845079,False,8.635709296084341
28,Jeita cave,35.65,33.95,-7.153843586650186,4.740093555943898,-5.950461780732934,-6.433588773685662,250.92203809450007,-1.2033818059172523,0.5527261148117314,False,7.002377111091501
29,Juxtlahuaca cave,-99.20000000000002,17.4,-4.043220174069388,7.145731761812522,-5.1886792511451,-4.366918996382603,976.1796141030603,1.1454590770757118,-0.4285053251051802,False,8.597563534812915
30,KNI-51,128.62,-15.300000000000002,-3.0451213352524698,5.973112181624652,-6.909476662691229,-5.625956018324729,431.8048314824116,3.864355327438759,-1.581163270122968,False,7.860539868913104
