,site_name,lon,lat,z_pred,ss_pred,z_obs,drift_at_obs,ele (SISAL),ele (iTraCE),dist_nn,residual,PES,|PES| > critical_val,ci
0,Arch cave,-127.07,50.55,-10.36750598622468,6.1740689770757715,-13.528303309000592,-10.988413274284433,660.0,373.8775389147794,748.6036172344031,3.1607973227759114,-1.2720697063481146,False,8.532132108035077
1,Ball Gown cave,125.0,-17.03,-6.100887257615111,3.3514860781206828,-1.3404822997294445,-8.11670704572953,100.0,247.80370763612615,431.8048314824116,-4.760404957885666,2.6003103762136295,False,6.2862339899118735
2,Bleßberg cave,11.0203,50.4244,-11.340094185211289,3.16230222427326,-10.035380679995978,-11.774346104585282,500.0,487.6241014707861,344.639810413006,-1.304713505215311,0.7336914719186696,False,6.106235073703416
3,Botuverá cave,-49.1569,-27.2247,-5.540965585103974,3.0268976379514387,-2.5725255637619853,-6.162087092268741,180.0,445.5024668075201,302.6232291967474,-2.968440021341989,1.7061979311094002,False,5.974075404239791
4,Bukit Assam cave,114.8,4.03,-7.456068027622996,0.9422723086558067,-6.958531326251465,-8.873312536012627,150.0,290.1335075052304,8.261762994230782,-0.49753670137153083,0.5125507912938463,False,3.3331898207708095
5,Buraca Gloriosa,-8.7833,39.5333,-6.080852032763227,4.115980125320356,-5.211732269431536,-8.330037941366138,420.0,246.4429210161297,543.5365932927459,-0.8691197633316907,0.4283936168653745,False,6.966400960105867
6,Cave of the Bells,-110.75,31.75,-8.30395737282264,3.4368458406226385,-10.948017078069897,-10.423915827500249,1639.0,1151.0977655174233,524.7484788129576,2.6440597052472565,-1.426235465108028,False,6.365783421822133
7,Chan Hol cave,-87.57,20.16,-1.7260644268490513,2.6845977101525484,-5.909180635751113,-3.2972513876858156,-8.5,30.80650071453252,447.2796244410764,4.183116208902062,-2.5530558883135166,False,5.626151730803085
8,Chauvet cave,4.26,44.23,-9.607500275133177,2.408110397266698,-7.88428254635746,-10.496452558494173,240.0,488.55094771394647,305.11447180307584,-1.7232177287757162,1.1104575409365294,False,5.328562070761421
9,Creighton`s cave,172.47,-40.63,-5.432562881158157,1.2999027514973112,-3.842820175247122,-8.054932855987339,80.0,132.06822333192875,69.00998942851429,-1.5897427059110352,1.3943487430323955,False,3.9149594147319573
10,Cueva Victoria,-0.8215,37.6322,-7.814205035415704,3.560864468736385,-5.8794057495748575,-8.493004470494961,75.0,450.33037145192463,541.8033551501388,-1.934799285840847,1.0253170901696327,False,6.47962026170648
11,Cueva de Asiul,-3.59,43.32,-7.316888265943285,0.968536050236257,-7.656497424939087,-9.591781425847703,285.0,425.6249347734621,13.739668483176404,0.3396091589958026,-0.34508135853255134,False,3.379323184527036
12,Cueva del Diamante,-77.5,-5.73,-5.1284927282569415,1.0817782717985573,-5.160131115689865,-4.457947525918103,960.0,632.5546262393841,31.369435063083298,0.03163838743292313,-0.03041901961472653,False,3.5714202747104644
13,Cueva del Tigre Perdido,-77.3081,-5.9406,-4.811827736286329,0.9370026842692348,-5.668086064775321,-4.41658789789123,1000.0,616.3518951994897,1.4804737149354987,0.856258328488992,-0.8845744502876904,False,3.323856380456299
14,Dim cave,32.1056,36.534,-9.328198176293947,2.676044721443243,-6.574550556671625,-8.162046041184386,232.0,562.8244431886465,431.40804071102957,-2.7536476196223223,1.683300606631865,False,5.617182267611771
15,Dongge cave,108.08329999999998,25.2833,-7.930006060698423,1.2183035051232074,-7.178422014460898,-9.152954859425659,680.0,750.8842799403626,28.87317596313951,-0.7515840462375252,0.6809258254656726,False,3.7900904943052076
