,site_name,lon,lat,z_pred,ss_pred,z_obs,drift_at_obs,ele (SISAL),ele (iTraCE),dist_nn,residual,PES,|PES| > critical_val,ci
0,Abaco Island cave,-77.16,26.23,-0.2755861951370121,6.694098362246201,-1.6153335352167535,-3.036994559475363,-45.0,25.372308159508755,790.4064636061545,1.3397473400797413,-0.5178176610527654,False,8.527969329766352
1,Ball Gown cave,125.0,-17.03,-7.609420836941138,4.165024730698804,-2.3701691569227705,-8.884903388272235,100.0,308.47486350026804,431.8048314824116,-5.239251680018367,2.567204522107396,False,6.726797858325963
2,Bittoo cave,77.7764,30.7903,-7.530877729683168,11.710164759484686,-7.255828159137467,-9.41599246503673,3000.0,2059.752580652876,1513.2152654258205,-0.27504957054570145,0.08037656987155724,False,11.279272466749013
3,Botuverá cave,-49.1569,-27.2247,-6.541652370610969,3.989969536441289,-3.8991155539526403,-6.521823396976734,180.0,491.9509270705896,302.6232291967474,-2.6425368166583283,1.3229281473007661,False,6.583917418644174
4,Bukit Assam cave,114.8,4.03,-8.074248976532386,1.0680282925564568,-7.625415971629764,-9.360912793340326,150.0,344.18292536833656,8.261762994230782,-0.4488330049026228,0.43430357718181195,False,3.4063632898693275
5,Buraca Gloriosa,-8.7833,39.5333,-4.31415070450257,6.927652918594818,-3.566501822302115,-7.493754480652397,420.0,254.14842971285285,557.0244943402969,-0.7476488822004548,0.28405643213415915,False,8.675462672704471
6,Cango cave,22.2147,-33.3925,-4.763822174064243,1.3966852272827637,-6.415121054128349,-5.856746997764391,687.0,723.9317309858428,11.793185448852327,1.6512988800641057,-1.397257394131651,False,3.895371252062698
7,Cave C126,113.90000000000002,-22.100000000000005,-4.05369154602177,10.109928921607963,-6.734577833220783,-7.742086947628012,100.0,76.49881126895386,1291.7810081240757,2.680886287199013,-0.8431490250197354,False,10.480298107569368
8,Cave Without a Name,-98.62079999999999,29.8852,-8.013071581416918,6.21551165033442,-4.519571143302566,-9.15785303202115,377.0,342.37724909756747,760.5050497606271,-3.493500438114352,1.4012717275172935,False,8.217468111090758
9,Cave of the Bells,-110.75,31.75,-10.974917712196998,4.564524652474081,-12.116087093423403,-11.20857288666069,1639.0,1187.853023800812,533.8785762011134,1.1411693812264048,-0.5341365931609321,False,7.04202177279677
10,Cold Air cave,29.1833,-24.0,-9.8083490740521,10.678981531056214,-4.238605399210286,-9.04314609732932,1420.0,1059.0845205857313,1240.267604913746,-5.569743674841813,1.7043951560939392,False,10.771210236984114
11,Efflux cave,22.34,-33.41,-6.0768366324912755,1.3939906918758513,-4.97230895700261,-5.853016427574914,716.0,725.5178649709108,11.793185448852327,-1.104527675488665,0.9355061896081475,False,3.891611892807972
12,El Condor cave,-77.3,-5.93,-9.380743075923244,6.50408879110771,-6.417597846969443,-5.682240994738073,860.0,661.581890898128,612.4413230623701,-2.9631452289538007,1.1618758018045283,False,8.406066390791256
13,Fort Stanton cave,-105.4433,33.5067,-12.141418562840476,4.817049941652828,-10.279597156133637,-12.36611585856727,1864.0,1611.3943920003303,533.8785762011134,-1.8618214067068397,0.8482960502945135,False,7.234194139858704
14,Gempa bumi cave,120.0,-5.0,-1.4756503071084275,7.237934322938361,-6.839804926492661,-5.9957597767797886,140.0,62.45212883545308,1158.3659220669783,5.364154619384234,-1.9938568225104105,False,8.867616524483289
15,Gunung-buda cave (snail shell cave),114.48,4.02,-7.956692322634845,1.2983482610724029,-7.519948518166444,-9.283746389460243,150.0,330.7917453213898,35.512025867917906,-0.4367438044684011,0.3832932336231507,False,3.7557371093766623
16,Haozhu cave,109.9833,30.6833,-9.013486639928514,1.6834031962721685,-9.40067845997703,-10.753010694738105,1017.0,793.4463149585927,117.46176400876678,0.3871918200485158,-0.2984228680723857,False,4.276551031023454
17,Hulu cave,119.17,32.5,-10.06858842810417,8.031527012201895,-7.876828396685293,-10.7099028104823,86.0,125.77264416085197,828.0634577586494,-2.1917600314188777,0.7733817878339858,False,9.341113459936349
18,Jaraguá cave,-56.583,-21.083,-6.847623978046319,7.0841412017054335,-6.0056665160946725,-6.3883314015553205,570.0,339.0396496224587,891.6297858599766,-0.8419574619516466,0.316334490063542,False,8.772900212702062
19,Jeita cave,35.65,33.95,-5.805828895515549,3.34632069366947,-4.986729792188498,-6.5379278999245765,100.0,449.96021389842986,250.92203809450007,-0.8190991033270505,0.4477676058501864,False,6.0295286702595705
