,site_name,lon,lat,z_pred,ss_pred,z_obs,drift_at_obs,ele (SISAL),ele (iTraCE),dist_nn,residual,PES,|PES| > critical_val,ci
0,Abaco Island cave,-77.16,26.23,-0.01857012293468352,6.071926412745068,-0.9538136902964425,-3.086784300064651,-45.0,24.013011761034818,790.4064636061543,0.935243567361759,-0.3795434316785832,False,8.19867843402622
1,Abissal cave,-37.6659,-5.5642,-3.71186264999407,0.9574366086186664,-3.598989934709573,-4.708298171905314,100.0,321.59958303813676,2.9554293068707898,-0.11287271528449727,0.11535434513283246,False,3.2556343180031386
2,Andriamaniloke,43.7569,-24.051,-3.417070803084184,0.9506040871839139,-2.7948412783576373,-5.367623570739921,20.0,206.5847598742003,0.5179543279925829,-0.6222295247265466,0.6381911477524098,False,3.2439969843098813
3,Ball Gown cave,125.0,-17.03,-7.718109425911577,3.5646080911077807,-4.012918476512612,-8.553816032037181,100.0,301.02239160864843,431.8048314824116,-3.7051909493989656,1.962477563488461,False,6.281834602501445
4,Bittoo cave,77.7764,30.7903,-7.547709621193395,13.061095693443812,-5.599637570823082,-7.708027828992045,3000.0,2053.5260575486955,2620.906169912228,-1.948072050370313,0.5390328211623714,False,12.024593644429538
5,Botuverá cave,-49.1569,-27.2247,-5.701063890541182,3.52585481511288,-4.69213866146589,-6.580799159392985,180.0,486.4353633537033,302.6232291967474,-1.0089252290752917,0.5373122839363921,False,6.247594240015094
6,Bukit Assam cave,114.8,4.03,-7.193098165532389,0.8060955174701966,-7.261720974070386,-8.690110942179842,150.0,337.63248535156237,8.261762994230782,0.06862280853799696,-0.0764320020280771,False,2.9872657272060397
7,Cango cave,22.2147,-33.3925,-2.719529149587334,9.939528570357483,-6.155067802791223,-5.8403499619960035,687.0,717.9051210452577,1245.2559924176435,3.4355386532038885,-1.0897125332918636,False,10.489710352491818
8,Cave C126,113.90000000000002,-22.100000000000005,-4.485696888670561,9.233618279523567,-7.340765957357291,-7.576551082552061,100.0,73.5448471021011,1291.7810081240757,2.8550690686867304,-0.9395732864933917,False,10.110358643821852
9,Cave of the Bells,-110.75,31.75,-10.327045619196545,4.152663127419797,-12.387272231835254,-10.108315142434716,1639.0,1183.0799361176098,533.8785762011156,2.0602266126387097,-1.0110011322275607,False,6.780222626540861
10,Cold Air cave,29.1833,-24.0,-7.727234044608793,8.117222283778757,-3.95635604751889,-7.740807525028261,1420.0,1052.0697032828798,1245.2559924176435,-3.770877997089903,1.3235451532290647,False,9.47947580997366
11,Cueva del Diamante,-77.5,-5.73,-6.953655028387846,1.1871337023265902,-6.394109107195807,-4.483708109717415,960.0,672.1787183132524,31.369435063083298,-0.559545921192039,0.5135537643919891,False,3.625187054867011
12,El Condor cave,-77.3,-5.93,-6.636628912166022,1.1618055739829005,-6.749850952890483,-4.413050884553176,860.0,656.2531667551325,31.369435063083298,0.11322204072446151,-0.1050423067803447,False,3.586305903156618
13,Fort Stanton cave,-105.44329999999998,33.5067,-14.754583225899943,5.657941597753413,-10.973436445855015,-11.780776038271203,1864.0,1607.0996020897796,533.8785762011156,-3.781146780044928,1.58962361678203,False,7.9142512470790845
14,Furong cave,107.9036,29.2289,-8.27345697281121,1.360327069495404,-6.577109455227799,-8.625864909080184,480.0,793.9940870466564,62.70871141155851,-1.696347517583412,1.4544311166666646,False,3.88063032679824
15,Gempa bumi cave,120.0,-5.0,-3.727686347515657,3.3957630478389498,-6.11005051548716,-6.264371613897669,140.0,60.33901564154344,395.3784849177935,2.382364167971503,-1.29282415966421,False,6.131253776681213
16,Gunung-buda cave (snail shell cave),114.48,4.02,-7.389380668064458,1.0239338519386665,-6.452135376434029,-8.620271700468496,150.0,323.18159570312525,35.512025867917906,-0.937245291630429,0.9262267439933228,False,3.3667940720736227
17,Haozhu cave,109.9833,30.6833,-8.305655266597958,1.5034775081371263,-8.287619022821517,-8.920233563204883,1017.0,786.946310078389,117.46176400876634,-0.018036243776441196,0.014709490456263585,False,4.0797079137185195
